txn_id,txn_date,amount,direction,description,reference,bank_type_code,running_balance
BT-000019,2026-08-04,1175.20,credit,ACH DEP LOGAN CANYON CAFE INV8869,INV8869,ACH-CR,499422.97
BT-000033,2026-08-04,1653.20,credit,ACH DEP BONNEVILLE BAGELS INV8964,INV8964,ACH-CR,501076.17
BT-000050,2026-08-04,2578.00,credit,ACH DEP COPPER RIDGE MARKET INV8714,INV8714,ACH-CR,503654.17
BT-000058,2026-08-04,7792.30,credit,ACH DEP SNOWBASIN CATERING INV8793,INV8793,ACH-CR,511446.47
BT-000066,2026-08-04,8515.10,debit,CHECK PAID 4139,4139,CHK,502931.37
BT-000080,2026-08-04,3766.25,credit,ACH DEP JUNIPER TABLE INV8535,INV8535,ACH-CR,506697.62
BT-000085,2026-08-04,4800.05,credit,ACH DEP LOGAN CANYON CAFE INV8949,INV8949,ACH-CR,511497.67
BT-000086,2026-08-04,4800.40,credit,ACH DEP HEBER VALLEY FOODS INV8537,INV8537,ACH-CR,516298.07
BT-000133,2026-08-04,349.35,credit,ACH DEP TIMPANOGOS COFFEE INV8075,INV8075,ACH-CR,516647.42
BT-000135,2026-08-04,1743.45,debit,CHECK PAID 4168,4168,CHK,514903.97
BT-000182,2026-08-04,2207.40,debit,CHECK PAID 4192,4192,CHK,512696.57
BT-000207,2026-08-04,8034.50,credit,ACH DEP BONNEVILLE BAGELS INV8796,INV8796,ACH-CR,520731.07
BT-000239,2026-08-04,91.60,debit,CHECK PAID 4220,4220,CHK,520639.47
BT-000243,2026-08-04,6960.05,debit,CHECK PAID 4222,4222,CHK,513679.42
BT-000268,2026-08-04,3798.90,credit,ACH DEP EMIGRATION KITCHEN INV8172,INV8172,ACH-CR,517478.32
BT-000277,2026-08-04,7709.95,credit,ACH DEP GRANITE PEAK FOODS INV8636,INV8636,ACH-CR,525188.27
BT-000295,2026-08-04,5472.00,credit,ACH DEP PARK CITY MARKET INV8474,INV8474,ACH-CR,530660.27
BT-000398,2026-08-04,876.25,debit,CHECK PAID 4309,4309,CHK,529784.02
BT-000431,2026-08-04,3347.50,credit,REMOTE DEP BRIGHTON BISTRO INV8424,INV8424,ACH-CR,533131.52
BT-000463,2026-08-04,3363.20,credit,DEPOSIT MOAB TRADING POST INV8692,INV8692,ACH-CR,536494.72
BT-000497,2026-08-04,2201.05,credit,REMOTE DEP CEDAR MESA SPC,,ACH-CR,538695.77
BT-000508,2026-08-04,4440.95,credit,ACH CREDIT ALTAVISTA BSTRO,,ACH-CR,543136.72
BT-000509,2026-08-04,160.80,credit,REMOTE DEP SEGO LILY CLN,,ACH-CR,543297.52
BT-000512,2026-08-04,1679.60,credit,DEPOSIT HI DESERT DAIRY,,ACH-CR,544977.12
BT-000520,2026-08-04,843.30,credit,ACH DEP SLVR FORK CAFE,,ACH-CR,545820.42
BT-000521,2026-08-04,5827.10,credit,ACH CREDIT WEBER FLEET SVC,,ACH-CR,551647.52
BT-000523,2026-08-04,5750.60,credit,ACH DEP BRGHTN BISTRO,,ACH-CR,557398.12
BT-000539,2026-08-04,6237.20,credit,ACH DEP TIMP COFFEE,,ACH-CR,563635.32
BT-000543,2026-08-04,9518.50,credit,REMOTE DEP BATCH 565,,DEP,573153.82
BT-000008,2026-08-05,621.55,debit,CHECK PAID 4110,4110,CHK,572532.27
BT-000009,2026-08-05,7283.00,debit,CHECK PAID 4101,4101,CHK,565249.27
BT-000012,2026-08-05,5012.80,debit,CHECK PAID 4103,4103,CHK,560236.47
BT-000032,2026-08-05,678.20,credit,ACH DEP PARK CITY MARKET INV8063,INV8063,ACH-CR,560914.67
BT-000039,2026-08-05,4124.85,debit,CHECK PAID 4124,4124,CHK,556789.82
BT-000097,2026-08-05,1790.80,credit,ACH DEP SALTAIR SUPPER CLUB INV8796,INV8796,ACH-CR,558580.62
BT-000119,2026-08-05,5053.70,debit,CHECK PAID 4162,4162,CHK,553526.92
BT-000123,2026-08-05,5420.00,credit,ACH DEP COTTONWOOD CATERING INV8028,INV8028,ACH-CR,558946.92
BT-000144,2026-08-05,3522.30,debit,CHECK PAID 4173,4173,CHK,555424.62
BT-000166,2026-08-05,1539.25,debit,CHECK PAID 4185,4185,CHK,553885.37
BT-000167,2026-08-05,1539.85,credit,ACH DEP TIMPANOGOS COFFEE INV8930,INV8930,ACH-CR,555425.22
BT-000179,2026-08-05,5751.20,credit,ACH DEP CANYON RIDGE GRCRY INV8351,INV8351,ACH-CR,561176.42
BT-000183,2026-08-05,5683.75,credit,ACH DEP LAKESIDE GRILL INV8134,INV8134,ACH-CR,566860.17
BT-000193,2026-08-05,7031.35,credit,ACH DEP LOGAN CANYON CAFE INV8105,INV8105,ACH-CR,573891.52
BT-000195,2026-08-05,3105.05,credit,ACH DEP SALTAIR SUPPER CLUB INV8099,INV8099,ACH-CR,576996.57
BT-000265,2026-08-05,319.50,credit,ACH DEP BONNEVILLE BAGELS INV8773,INV8773,ACH-CR,577316.07
BT-000281,2026-08-05,7633.45,credit,ACH DEP EMIGRATION KITCHEN INV8378,INV8378,ACH-CR,584949.52
BT-000323,2026-08-05,3476.20,credit,ACH DEP ALTA VISTA BISTRO INV8634,INV8634,ACH-CR,588425.72
BT-000326,2026-08-05,428.35,debit,CHECK PAID 4263,4263,CHK,587997.37
BT-000347,2026-08-05,4627.15,credit,ACH DEP BONNEVILLE BAGELS INV8327,INV8327,ACH-CR,592624.52
BT-000359,2026-08-05,6405.05,debit,CHECK PAID 4286,4286,CHK,586219.47
BT-000415,2026-08-05,416.75,debit,CHECK PAID 4319,4319,CHK,585802.72
BT-000439,2026-08-05,6286.05,credit,ACH DEP OGDEN STREET FOODS INV8015,INV8015,ACH-CR,592088.77
BT-000461,2026-08-05,6490.35,credit,DEPOSIT SILVER FORK CAFE INV8959,INV8959,ACH-CR,598579.12
BT-000477,2026-08-05,6048.55,credit,DEPOSIT EMIGRATION KITCHEN INV8012,INV8012,ACH-CR,604627.67
BT-000494,2026-08-05,5558.85,credit,DEPOSIT FREMONT SPG WTR,,ACH-CR,610186.52
BT-000506,2026-08-05,3469.85,credit,ACH CREDIT DESERET PAYRL SVC,,ACH-CR,613656.37
BT-000516,2026-08-05,3506.65,credit,REMOTE DEP LAKESIDE GRL,,ACH-CR,617163.02
BT-000545,2026-08-05,6348.00,credit,REMOTE DEP BATCH 312,,DEP,623511.02
BT-000010,2026-08-06,7260.50,debit,CHECK PAID 4106,4106,CHK,616250.52
BT-000017,2026-08-06,5670.85,credit,ACH DEP SALTAIR SUPPER CLUB INV8361,INV8361,ACH-CR,621921.37
BT-000043,2026-08-06,287.10,credit,ACH DEP LAKESIDE GRILL INV8359,INV8359,ACH-CR,622208.47
BT-000100,2026-08-06,765.15,debit,CHECK PAID 4153,4153,CHK,621443.32
BT-000101,2026-08-06,765.15,debit,CHECK PAID 4154,4154,CHK,620678.17
BT-000109,2026-08-06,4557.10,credit,ACH DEP LAKESIDE GRILL INV8643,INV8643,ACH-CR,625235.27
BT-000115,2026-08-06,5307.95,credit,ACH DEP PARK CITY MARKET INV8002,INV8002,ACH-CR,630543.22
BT-000116,2026-08-06,6193.65,debit,CHECK PAID 4159,4159,CHK,624349.57
BT-000156,2026-08-06,15626.55,debit,CHECK PAID 4180,4180,CHK,608723.02
BT-000181,2026-08-06,3928.70,debit,CHECK PAID 4191,4191,CHK,604794.32
BT-000190,2026-08-06,2332.85,debit,CHECK PAID 4197,4197,CHK,602461.47
BT-000212,2026-08-06,18435.40,debit,CHECK PAID 4205,4205,CHK,584026.07
BT-000221,2026-08-06,833.75,debit,CHECK PAID 4212,4212,CHK,583192.32
BT-000232,2026-08-06,4103.75,credit,ACH DEP BEARCLAW BAKERY INV8470,INV8470,ACH-CR,587296.07
BT-000266,2026-08-06,8133.15,credit,ACH DEP EMIGRATION KITCHEN INV8037,INV8037,ACH-CR,595429.22
BT-000270,2026-08-06,3920.55,debit,CHECK PAID 4234,4234,CHK,591508.67
BT-000284,2026-08-06,5934.95,credit,ACH DEP OGDEN STREET FOODS INV8115,INV8115,ACH-CR,597443.62
BT-000328,2026-08-06,2144.15,debit,CHECK PAID 4265,4265,CHK,595299.47
BT-000343,2026-08-06,3867.05,debit,CHECK PAID 4277,4277,CHK,591432.42
BT-000349,2026-08-06,4098.30,debit,CHECK PAID 4281,4281,CHK,587334.12
BT-000391,2026-08-06,3635.00,debit,CHECK PAID 4305,4305,CHK,583699.12
BT-000392,2026-08-06,821.90,credit,ACH CREDIT ALTA VISTA BISTRO INV8799,INV8799,ACH-CR,584521.02
BT-000395,2026-08-06,873.35,debit,CHECK PAID 4308,4308,CHK,583647.67
BT-000421,2026-08-06,4738.00,debit,CHECK PAID 4322,4322,CHK,578909.67
BT-000442,2026-08-06,2110.80,debit,CHECK PAID 4329,4329,CHK,576798.87
BT-000465,2026-08-06,2653.15,debit,CHECK PAID 4342,4342,CHK,574145.72
BT-000471,2026-08-06,2077.40,debit,CHECK PAID 4344,4344,CHK,572068.32
BT-000499,2026-08-06,2733.45,credit,DEPOSIT UP LOGISTICS,,ACH-CR,574801.77
BT-000518,2026-08-06,2666.05,credit,ACH CREDIT RCKY MTN POWER,,ACH-CR,577467.82
BT-000536,2026-08-06,4019.05,credit,ACH CREDIT SUNDNC FRGHT LN,,ACH-CR,581486.87
BT-000544,2026-08-06,5961.50,credit,REMOTE DEP BATCH 422,,DEP,587448.37
BT-000070,2026-08-07,478.85,credit,ACH DEP SILVER FORK CAFE INV8604,INV8604,ACH-CR,587927.22
BT-000076,2026-08-07,1213.00,debit,CHECK PAID 4143,4143,CHK,586714.22
BT-000077,2026-08-07,1213.00,debit,CHECK PAID 4144,4144,CHK,585501.22
BT-000111,2026-08-07,8190.40,credit,ACH DEP TIMPANOGOS COFFEE INV8385,INV8385,ACH-CR,593691.62
BT-000150,2026-08-07,23042.25,debit,CHECK PAID 4176,4176,CHK,570649.37
BT-000171,2026-08-07,6147.45,credit,ACH DEP LAKESIDE GRILL INV8166,INV8166,ACH-CR,576796.82
BT-000177,2026-08-07,3473.45,credit,ACH DEP MOAB TRADING POST INV8954,INV8954,ACH-CR,580270.27
BT-000191,2026-08-07,6226.25,credit,ACH DEP BRIGHTON BISTRO INV8400,INV8400,ACH-CR,586496.52
BT-000203,2026-08-07,7265.75,credit,ACH DEP EMIGRATION KITCHEN INV8404,INV8404,ACH-CR,593762.27
BT-000234,2026-08-07,1480.45,credit,ACH DEP SALTAIR SUPPER CLUB INV8070,INV8070,ACH-CR,595242.72
BT-000336,2026-08-07,3883.05,debit,CHECK PAID 4271,4271,CHK,591359.67
BT-000340,2026-08-07,2400.50,debit,CHECK PAID 4274,4274,CHK,588959.17
BT-000373,2026-08-07,722.25,debit,CHECK PAID 4293,4293,CHK,588236.92
BT-000418,2026-08-07,4783.65,debit,CHECK PAID 4320,4320,CHK,583453.27
BT-000427,2026-08-07,2365.10,debit,CHECK PAID 4325,4325,CHK,581088.17
BT-000428,2026-08-07,3867.45,credit,ACH DEP COTTONWOOD CATERING INV8866,INV8866,ACH-CR,584955.62
BT-000444,2026-08-07,3691.35,debit,CHECK PAID 4331,4331,CHK,581264.27
BT-000472,2026-08-07,7205.25,debit,CHECK PAID 4345,4345,CHK,574059.02
BT-000484,2026-08-07,1238.60,debit,CHECK PAID 4355,4355,CHK,572820.42
BT-000515,2026-08-07,2933.30,credit,REMOTE DEP JUNPR TABLE,,ACH-CR,575753.72
BT-000529,2026-08-07,5325.55,credit,REMOTE DEP SALTFLATS BEV,,ACH-CR,581079.27
BT-000540,2026-08-07,6050.80,credit,REMOTE DEP PROVO PROVSNS,,ACH-CR,587130.07
BT-000553,2026-08-07,1373.45,debit,ACH DEBIT SEGO LILY CLEANING,,ACH-DR,585756.62
BT-000555,2026-08-07,1506.45,debit,ACH DEBIT SEGO LILY CLEANING,,ACH-DR,584250.17
BT-000580,2026-08-07,1001.60,debit,ACH DEBIT ROCKY MOUNTAIN POWER,,ACH-DR,583248.57
BT-000581,2026-08-07,1228.95,debit,ACH DEBIT ROCKY MOUNTAIN POWER,,ACH-DR,582019.62
BT-000582,2026-08-07,3524.40,debit,ACH DEBIT ROCKY MOUNTAIN POWER,,ACH-DR,578495.22
BT-000607,2026-08-07,736.95,credit,MISC CREDIT ADJ 4471,,ACH-CR,579232.17
BT-000003,2026-08-10,3416.80,credit,DEPOSIT GRANITE PEAK FOODS DEP59519,DEP59519,DEP,582648.97
BT-000007,2026-08-10,5405.30,debit,CHECK PAID 4111,4111,CHK,577243.67
BT-000016,2026-08-10,5441.85,credit,ACH DEP LAKESIDE GRILL INV8117,INV8117,ACH-CR,582685.52
BT-000063,2026-08-10,6375.75,debit,CHECK PAID 4137,4137,CHK,576309.77
BT-000099,2026-08-10,8371.90,debit,CHECK PAID 4152,4152,CHK,567937.87
BT-000112,2026-08-10,5694.10,debit,CHECK PAID 4157,4157,CHK,562243.77
BT-000113,2026-08-10,5694.10,debit,CHECK PAID 4158,4158,CHK,556549.67
BT-000145,2026-08-10,7812.10,debit,CHECK PAID 4174,4174,CHK,548737.57
BT-000174,2026-08-10,3622.75,debit,CHECK PAID 4189,4189,CHK,545114.82
BT-000253,2026-08-10,3606.70,credit,ACH DEP BONNEVILLE BAGELS INV8643,INV8643,ACH-CR,548721.52
BT-000257,2026-08-10,4678.20,debit,CHECK PAID 4228,4228,CHK,544043.32
BT-000258,2026-08-10,1342.75,debit,CHECK PAID 4229,4229,CHK,542700.57
BT-000283,2026-08-10,4229.95,credit,ACH DEP WASATCH DELI GRP INV8326,INV8326,ACH-CR,546930.52
BT-000288,2026-08-10,3119.10,debit,CHECK PAID 4243,4243,CHK,543811.42
BT-000292,2026-08-10,4268.05,debit,CHECK PAID 4246,4246,CHK,539543.37
BT-000293,2026-08-10,7369.70,credit,ACH DEP WASATCH DELI GRP INV8838,INV8838,ACH-CR,546913.07
BT-000300,2026-08-10,7685.45,debit,CHECK PAID 4247,4247,CHK,539227.62
BT-000301,2026-08-10,1423.95,debit,CHECK PAID 4248,4248,CHK,537803.67
BT-000318,2026-08-10,4995.50,debit,CHECK PAID 4259,4259,CHK,532808.17
BT-000322,2026-08-10,4171.45,debit,CHECK PAID 4262,4262,CHK,528636.72
BT-000375,2026-08-10,7970.30,credit,ACH DEP PROVO PROVISIONS INV8099,INV8099,ACH-CR,536607.02
BT-000388,2026-08-10,5279.05,debit,CHECK PAID 4302,4302,CHK,531327.97
BT-000389,2026-08-10,7148.40,debit,CHECK PAID 4303,4303,CHK,524179.57
BT-000396,2026-08-10,7384.40,credit,ACH DEP COPPER RIDGE MARKET INV8087,INV8087,ACH-CR,531563.97
BT-000405,2026-08-10,3403.15,credit,REMOTE DEP SILVER FORK CAFE INV8856,INV8856,ACH-CR,534967.12
BT-000417,2026-08-10,1707.55,credit,DEPOSIT SILVER FORK CAFE INV8822,INV8822,ACH-CR,536674.67
BT-000448,2026-08-10,3764.95,debit,CHECK PAID 4334,4334,CHK,532909.72
BT-000452,2026-08-10,5569.50,credit,ACH DEP PARK CITY MARKET INV8336,INV8336,ACH-CR,538479.22
BT-000458,2026-08-10,6586.10,debit,CHECK PAID 4339,4339,CHK,531893.12
BT-000504,2026-08-10,781.25,credit,ACH CREDIT HI DESERT DAIRY,,ACH-CR,532674.37
BT-000530,2026-08-10,5665.80,credit,ACH CREDIT COPPER RDG MKT,,ACH-CR,538340.17
BT-000541,2026-08-10,5376.40,credit,REMOTE DEP BATCH 643,,DEP,543716.57
BT-000554,2026-08-10,3178.95,debit,ACH DEBIT SEGO LILY CLEANING,,ACH-DR,540537.62
BT-000006,2026-08-11,3126.75,debit,CHECK PAID 4102,4102,CHK,537410.87
BT-000011,2026-08-11,4774.20,debit,CHECK PAID 4107,4107,CHK,532636.67
BT-000015,2026-08-11,3551.80,credit,ACH DEP OGDEN STREET FOODS INV8580,INV8580,ACH-CR,536188.47
BT-000023,2026-08-11,7662.95,debit,CHECK PAID 4118,4118,CHK,528525.52
BT-000031,2026-08-11,2036.15,debit,CHECK PAID 4119,4119,CHK,526489.37
BT-000042,2026-08-11,2893.15,debit,CHECK PAID 4126,4126,CHK,523596.22
BT-000048,2026-08-11,182.80,debit,CHECK PAID 4130,4130,CHK,523413.42
BT-000062,2026-08-11,7492.05,credit,ACH DEP CANYON RIDGE GRCRY INV8844,INV8844,ACH-CR,530905.47
BT-000105,2026-08-11,4693.80,credit,ACH DEP PROVO PROVISIONS INV8197,INV8197,ACH-CR,535599.27
BT-000118,2026-08-11,7585.90,debit,CHECK PAID 4161,4161,CHK,528013.37
BT-000143,2026-08-11,6695.75,debit,CHECK PAID 4172,4172,CHK,521317.62
BT-000157,2026-08-11,2370.20,debit,CHECK PAID 4181,4181,CHK,518947.42
BT-000158,2026-08-11,2369.85,credit,ACH DEP COPPER RIDGE MARKET INV8487,INV8487,ACH-CR,521317.27
BT-000164,2026-08-11,1324.70,credit,ACH DEP SALTAIR SUPPER CLUB INV8427,INV8427,ACH-CR,522641.97
BT-000230,2026-08-11,5516.80,credit,ACH DEP PROVO PROVISIONS INV8539,INV8539,ACH-CR,528158.77
BT-000254,2026-08-11,7049.80,credit,ACH DEP BONNEVILLE BAGELS INV8216,INV8216,ACH-CR,535208.57
BT-000263,2026-08-11,8392.65,debit,CHECK PAID 4232,4232,CHK,526815.92
BT-000269,2026-08-11,5564.80,credit,ACH DEP COPPER RIDGE MARKET INV8390,INV8390,ACH-CR,532380.72
BT-000276,2026-08-11,5829.60,debit,CHECK PAID 4237,4237,CHK,526551.12
BT-000287,2026-08-11,6440.55,debit,CHECK PAID 4242,4242,CHK,520110.57
BT-000335,2026-08-11,1922.35,debit,CHECK PAID 4270,4270,CHK,518188.22
BT-000402,2026-08-11,6361.00,debit,CHECK PAID 4311,4311,CHK,511827.22
BT-000409,2026-08-11,1031.65,debit,CHECK PAID 4315,4315,CHK,510795.57
BT-000483,2026-08-11,5309.45,debit,CHECK PAID 4354,4354,CHK,505486.12
BT-000488,2026-08-11,773.20,credit,ACH CREDIT FREMONT SPG WTR,,ACH-CR,506259.32
BT-000513,2026-08-11,1650.60,credit,ACH DEP SALTFLATS BEV,,ACH-CR,507909.92
BT-000601,2026-08-11,479.50,debit,ACH DEBIT DOMINGUEZ OLIVE OILS,,ACH-DR,507430.42
BT-000608,2026-08-11,581.25,debit,COUNTER CREDIT 8802,,ACH-CR,506849.17
BT-000001,2026-08-12,2055.95,credit,DEPOSIT PROVO PROVISIONS DEP31051,DEP31051,DEP,508905.12
BT-000002,2026-08-12,1961.50,debit,CHECK PAID 4108,4108,CHK,506943.62
BT-000005,2026-08-12,5135.35,debit,CHECK PAID 4114,4114,CHK,501808.27
BT-000013,2026-08-12,174.75,debit,CHECK PAID 4115,4115,CHK,501633.52
BT-000022,2026-08-12,5462.80,credit,ACH DEP LAKESIDE GRILL INV8946,INV8946,ACH-CR,507096.32
BT-000047,2026-08-12,7742.35,debit,CHECK PAID 4129,4129,CHK,499353.97
BT-000060,2026-08-12,3275.40,credit,ACH DEP BEARCLAW BAKERY INV8754,INV8754,ACH-CR,502629.37
BT-000091,2026-08-12,99.15,debit,CHECK PAID 4148,4148,CHK,502530.22
BT-000094,2026-08-12,7259.85,debit,CHECK PAID 4150,4150,CHK,495270.37
BT-000095,2026-08-12,7260.45,credit,ACH DEP RED BUTTE DINER INV8735,INV8735,ACH-CR,502530.82
BT-000110,2026-08-12,372.05,credit,ACH DEP PROVO PROVISIONS INV8067,INV8067,ACH-CR,502902.87
BT-000121,2026-08-12,2249.55,credit,ACH DEP RED BUTTE DINER INV8639,INV8639,ACH-CR,505152.42
BT-000122,2026-08-12,2250.50,credit,ACH DEP BRIGHTON BISTRO INV8988,INV8988,ACH-CR,507402.92
BT-000138,2026-08-12,1157.65,credit,ACH DEP CANYON RIDGE GRCRY INV8804,INV8804,ACH-CR,508560.57
BT-000175,2026-08-12,6077.20,credit,ACH DEP RED BUTTE DINER INV8599,INV8599,ACH-CR,514637.77
BT-000176,2026-08-12,6078.15,credit,ACH DEP TIMPANOGOS COFFEE INV8122,INV8122,ACH-CR,520715.92
BT-000194,2026-08-12,3133.65,credit,ACH DEP PARK CITY MARKET INV8329,INV8329,ACH-CR,523849.57
BT-000196,2026-08-12,7578.55,debit,CHECK PAID 4199,4199,CHK,516271.02
BT-000209,2026-08-12,6366.95,credit,ACH DEP JUNIPER TABLE INV8237,INV8237,ACH-CR,522637.97
BT-000217,2026-08-12,7174.75,debit,CHECK PAID 4208,4208,CHK,515463.22
BT-000222,2026-08-12,8131.05,credit,ACH DEP LOGAN CANYON CAFE INV8829,INV8829,ACH-CR,523594.27
BT-000248,2026-08-12,5180.55,credit,ACH DEP LAKESIDE GRILL INV8785,INV8785,ACH-CR,528774.82
BT-000262,2026-08-12,671.80,debit,CHECK PAID 4231,4231,CHK,528103.02
BT-000286,2026-08-12,7854.10,debit,CHECK PAID 4241,4241,CHK,520248.92
BT-000291,2026-08-12,5216.10,credit,ACH DEP MOAB TRADING POST INV8887,INV8887,ACH-CR,525465.02
BT-000297,2026-08-12,832.25,credit,ACH DEP ALTA VISTA BISTRO INV8304,INV8304,ACH-CR,526297.27
BT-000325,2026-08-12,6310.35,credit,ACH DEP BONNEVILLE BAGELS INV8042,INV8042,ACH-CR,532607.62
BT-000341,2026-08-12,5413.60,debit,CHECK PAID 4275,4275,CHK,527194.02
BT-000345,2026-08-12,7254.80,debit,CHECK PAID 4278,4278,CHK,519939.22
BT-000350,2026-08-12,2648.80,debit,CHECK PAID 4282,4282,CHK,517290.42
BT-000353,2026-08-12,4813.55,credit,ACH DEP PARK CITY MARKET INV8972,INV8972,ACH-CR,522103.97
BT-000364,2026-08-12,3422.35,credit,ACH DEP LOGAN CANYON CAFE INV8882,INV8882,ACH-CR,525526.32
BT-000441,2026-08-12,699.05,credit,ACH DEP LAKESIDE GRILL INV8469,INV8469,ACH-CR,526225.37
BT-000467,2026-08-12,3454.75,debit,CHECK PAID 4343,4343,CHK,522770.62
BT-000468,2026-08-12,4735.10,credit,ACH CREDIT SALTAIR SUPPER CLUB INV8109,INV8109,ACH-CR,527505.72
BT-000479,2026-08-12,1072.80,debit,CHECK PAID 4350,4350,CHK,526432.92
BT-000503,2026-08-12,1690.65,credit,ACH DEP WSTCH PRODUCE PTNR,,ACH-CR,528123.57
BT-000524,2026-08-12,5851.10,credit,ACH CREDIT UP LOGISTICS,,ACH-CR,533974.67
BT-000556,2026-08-12,2833.70,debit,ACH DEBIT ZION COLD STORAGE,,ACH-DR,531140.97
BT-000557,2026-08-12,1057.85,debit,ACH DEBIT ZION COLD STORAGE,,ACH-DR,530083.12
BT-000597,2026-08-12,669.30,debit,RETURNED DEPOSIT EMIGRATION KITCHEN,,RTN,529413.82
BT-000602,2026-08-12,479.50,debit,ACH DEBIT DOMINGUEZ OLIVE OILS,,ACH-DR,528934.32
BT-000605,2026-08-12,938.65,credit,ACH DEP EMIGRATION KITCHEN INV8688,INV8688,ACH-CR,529872.97
BT-000004,2026-08-13,17123.00,credit,DEPOSIT SALTAIR SUPPER CLUB DEP14315,DEP14315,DEP,546995.97
BT-000014,2026-08-13,7026.90,debit,CHECK PAID 4116,4116,CHK,539969.07
BT-000030,2026-08-13,5167.60,credit,ACH DEP OGDEN STREET FOODS INV8314,INV8314,ACH-CR,545136.67
BT-000040,2026-08-13,7074.90,debit,CHECK PAID 4125,4125,CHK,538061.77
BT-000055,2026-08-13,2125.95,debit,CHECK PAID 4133,4133,CHK,535935.82
BT-000072,2026-08-13,2564.80,debit,CHECK PAID 4140,4140,CHK,533371.02
BT-000087,2026-08-13,16263.25,debit,CHECK PAID 4146,4146,CHK,517107.77
BT-000124,2026-08-13,2396.30,debit,CHECK PAID 4164,4164,CHK,514711.47
BT-000125,2026-08-13,2396.30,credit,ACH DEP ALTA VISTA BISTRO INV8856,INV8856,ACH-CR,517107.77
BT-000168,2026-08-13,7382.75,credit,ACH DEP REDROCK PROVISIONS INV8486,INV8486,ACH-CR,524490.52
BT-000231,2026-08-13,4132.05,debit,CHECK PAID 4216,4216,CHK,520358.47
BT-000244,2026-08-13,2685.75,debit,CHECK PAID 4223,4223,CHK,517672.72
BT-000320,2026-08-13,5929.85,credit,ACH DEP PARK CITY MARKET INV8741,INV8741,ACH-CR,523602.57
BT-000334,2026-08-13,5085.90,credit,ACH DEP COPPER RIDGE MARKET INV8256,INV8256,ACH-CR,528688.47
BT-000348,2026-08-13,2937.70,debit,CHECK PAID 4280,4280,CHK,525750.77
BT-000371,2026-08-13,1871.85,credit,ACH DEP ALTA VISTA BISTRO INV8803,INV8803,ACH-CR,527622.62
BT-000380,2026-08-13,3548.95,debit,CHECK PAID 4298,4298,CHK,524073.67
BT-000383,2026-08-13,2120.40,credit,ACH DEP MOAB TRADING POST INV8024,INV8024,ACH-CR,526194.07
BT-000399,2026-08-13,3190.35,credit,ACH DEP SNOWBASIN CATERING INV8866,INV8866,ACH-CR,529384.42
BT-000413,2026-08-13,4182.80,debit,CHECK PAID 4318,4318,CHK,525201.62
BT-000425,2026-08-13,882.10,debit,CHECK PAID 4324,4324,CHK,524319.52
BT-000432,2026-08-13,6213.45,credit,DEPOSIT MOAB TRADING POST INV8477,INV8477,ACH-CR,530532.97
