entry_id,posting_date,amount,direction,description,reference,gl_account,source_journal
GL-000283,2026-08-04,5472.00,debit,Park City Market — invoice 8474,INV8474,1010,CR
GL-000379,2026-08-04,3635.00,credit,Zion Cold Storage — check 4305,4305,1010,CD
GL-000380,2026-08-04,821.90,debit,Alta Vista Bistro — invoice 8799,INV8799,1010,CR
GL-000406,2026-08-04,4783.65,credit,Wasatch Produce Partners — check 4320,4320,1010,CD
GL-000416,2026-08-04,3867.45,debit,Cottonwood Catering — invoice 8866,INV8866,1010,CR
GL-000472,2026-08-04,1238.60,credit,Weber Fleet Services — check 4355,4355,1010,CD
GL-000485,2026-08-04,2201.05,debit,Cedar Mesa Spices — remittance,,1010,CR
GL-000496,2026-08-04,4440.95,debit,Alta Vista Bistro — remittance,,1010,CR
GL-000497,2026-08-04,160.80,debit,Sego Lily Cleaning — remittance,,1010,CR
GL-000500,2026-08-04,1679.60,debit,High Desert Dairy — remittance,,1010,CR
GL-000508,2026-08-04,843.30,debit,Silver Fork Cafe — remittance,,1010,CR
GL-000509,2026-08-04,5827.10,debit,Weber Fleet Services — remittance,,1010,CR
GL-000511,2026-08-04,5750.60,debit,Brighton Bistro — remittance,,1010,CR
GL-000527,2026-08-04,6237.20,debit,Timpanogos Coffee — remittance,,1010,CR
GL-000538,2026-08-04,1841.85,debit,Logan Canyon Cafe — invoice 8419,INV8419,1010,CR
GL-000539,2026-08-04,2788.35,debit,Provo Provisions — invoice 8801,INV8801,1010,CR
GL-000545,2026-08-04,2010.05,debit,Cottonwood Catering — invoice 8417,INV8417,1010,CR
GL-000546,2026-08-04,2017.80,debit,Silver Fork Cafe — invoice 8788,INV8788,1010,CR
GL-000584,2026-08-04,1118.00,debit,Wasatch Deli Group — invoice 8098,INV8098,1010,CR
GL-000020,2026-08-05,678.20,debit,Park City Market — invoice 8063,INV8063,1010,CR
GL-000027,2026-08-05,4124.85,credit,Sundance Freight Lines — check 4124,4124,1010,CD
GL-000085,2026-08-05,1790.80,debit,Saltair Supper Club — invoice 8796,INV8796,1010,CR
GL-000107,2026-08-05,5053.70,credit,Salt Flats Beverage — check 4162,4162,1010,CD
GL-000111,2026-08-05,5420.00,debit,Cottonwood Catering — invoice 8028,INV8028,1010,CR
GL-000132,2026-08-05,3522.30,credit,Great Basin Insurance — check 4173,4173,1010,CD
GL-000154,2026-08-05,1539.25,credit,Alpine Equipment Repair — check 4185,4185,1010,CD
GL-000155,2026-08-05,1539.85,debit,Timpanogos Coffee — invoice 8930,INV8930,1010,CR
GL-000167,2026-08-05,5751.20,debit,Canyon Ridge Grocery — invoice 8351,INV8351,1010,CR
GL-000171,2026-08-05,5683.75,debit,Lakeside Grill — invoice 8134,INV8134,1010,CR
GL-000181,2026-08-05,7031.35,debit,Logan Canyon Cafe — invoice 8105,INV8105,1010,CR
GL-000183,2026-08-05,3105.05,debit,Saltair Supper Club — invoice 8099,INV8099,1010,CR
GL-000253,2026-08-05,319.50,debit,Bonneville Bagels — invoice 8773,INV8773,1010,CR
GL-000269,2026-08-05,7633.45,debit,Emigration Kitchen — invoice 8378,INV8378,1010,CR
GL-000311,2026-08-05,3476.20,debit,Alta Vista Bistro — invoice 8634,INV8634,1010,CR
GL-000314,2026-08-05,428.35,credit,Deseret Payroll Services — check 4263,4263,1010,CD
GL-000335,2026-08-05,4627.15,debit,Bonneville Bagels — invoice 8327,INV8327,1010,CR
GL-000347,2026-08-05,6405.05,credit,Deseret Payroll Services — check 4286,4286,1010,CD
GL-000393,2026-08-05,3403.15,debit,Silver Fork Cafe — invoice 8856,INV8856,1010,CR
GL-000409,2026-08-05,4738.00,credit,Dominguez Olive Oils — check 4322,4322,1010,CD
GL-000415,2026-08-05,2365.10,credit,High Desert Dairy — check 4325,4325,1010,CD
GL-000432,2026-08-05,3691.35,credit,Sego Lily Cleaning — check 4331,4331,1010,CD
GL-000453,2026-08-05,2653.15,credit,Great Basin Insurance — check 4342,4342,1010,CD
GL-000459,2026-08-05,2077.40,credit,Sego Lily Cleaning — check 4344,4344,1010,CD
GL-000482,2026-08-05,5558.85,debit,Fremont Springs Water — remittance,,1010,CR
GL-000494,2026-08-05,3469.85,debit,Deseret Payroll Services — remittance,,1010,CR
GL-000504,2026-08-05,3506.65,debit,Lakeside Grill — remittance,,1010,CR
GL-000541,2026-08-05,2668.95,debit,Emigration Kitchen — invoice 8383,INV8383,1010,CR
GL-000543,2026-08-05,495.45,debit,Logan Canyon Cafe — invoice 8266,INV8266,1010,CR
GL-000544,2026-08-05,1824.70,debit,Bonneville Bagels — invoice 8455,INV8455,1010,CR
GL-000005,2026-08-06,5670.85,debit,Saltair Supper Club — invoice 8361,INV8361,1010,CR
GL-000031,2026-08-06,287.10,debit,Lakeside Grill — invoice 8359,INV8359,1010,CR
GL-000088,2026-08-06,765.15,credit,Salt Flats Beverage — check 4153,4153,1010,CD
GL-000089,2026-08-06,765.15,credit,Dominguez Olive Oils — check 4154,4154,1010,CD
GL-000097,2026-08-06,4557.10,debit,Lakeside Grill — invoice 8643,INV8643,1010,CR
GL-000103,2026-08-06,5307.95,debit,Park City Market — invoice 8002,INV8002,1010,CR
GL-000104,2026-08-06,6193.65,credit,Deseret Payroll Services — check 4159,4159,1010,CD
GL-000144,2026-08-06,15626.55,credit,Alpine Equipment Repair — check 4180,4180,1010,CD
GL-000169,2026-08-06,3928.70,credit,Alpine Equipment Repair — check 4191,4191,1010,CD
GL-000178,2026-08-06,2332.85,credit,Cache Valley Creamery — check 4197,4197,1010,CD
GL-000200,2026-08-06,18435.40,credit,Sego Lily Cleaning — check 4205,4205,1010,CD
GL-000209,2026-08-06,833.75,credit,Trailhead Print Works — check 4212,4212,1010,CD
GL-000220,2026-08-06,4103.75,debit,Bearclaw Bakery — invoice 8470,INV8470,1010,CR
GL-000254,2026-08-06,8133.15,debit,Emigration Kitchen — invoice 8037,INV8037,1010,CR
GL-000258,2026-08-06,3920.55,credit,Salt Flats Beverage — check 4234,4234,1010,CD
GL-000272,2026-08-06,5934.95,debit,Ogden Street Foods — invoice 8115,INV8115,1010,CR
GL-000316,2026-08-06,2144.15,credit,Wasatch Produce Partners — check 4265,4265,1010,CD
GL-000331,2026-08-06,3867.05,credit,Beehive Packaging — check 4277,4277,1010,CD
GL-000337,2026-08-06,4098.30,credit,Cedar Mesa Spices — check 4281,4281,1010,CD
GL-000384,2026-08-06,7384.40,debit,Copper Ridge Market — invoice 8087,INV8087,1010,CR
GL-000397,2026-08-06,1031.65,credit,High Desert Dairy — check 4315,4315,1010,CD
GL-000436,2026-08-06,3764.95,credit,Zion Cold Storage — check 4334,4334,1010,CD
GL-000446,2026-08-06,6586.10,credit,Alpine Equipment Repair — check 4339,4339,1010,CD
GL-000460,2026-08-06,7205.25,credit,Sundance Freight Lines — check 4345,4345,1010,CD
GL-000471,2026-08-06,5309.45,credit,Alpine Equipment Repair — check 4354,4354,1010,CD
GL-000487,2026-08-06,2733.45,debit,Union Pacific Logistics — remittance,,1010,CR
GL-000506,2026-08-06,2666.05,debit,Rocky Mountain Power — remittance,,1010,CR
GL-000524,2026-08-06,4019.05,debit,Sundance Freight Lines — remittance,,1010,CR
GL-000540,2026-08-06,2414.05,debit,Snowbasin Catering — invoice 8776,INV8776,1010,CR
GL-000542,2026-08-06,878.50,debit,Copper Ridge Market — invoice 8461,INV8461,1010,CR
GL-000580,2026-08-06,5754.95,credit,Rocky Mountain Power — settlement,,1010,CD
GL-000593,2026-08-06,1908.40,debit,Cash clearing adjustment,,1010,GJ
GL-000058,2026-08-07,478.85,debit,Silver Fork Cafe — invoice 8604,INV8604,1010,CR
GL-000064,2026-08-07,1213.00,credit,Great Basin Insurance — check 4143,4143,1010,CD
GL-000065,2026-08-07,1213.00,credit,Deseret Payroll Services — check 4144,4144,1010,CD
GL-000099,2026-08-07,8190.40,debit,Timpanogos Coffee — invoice 8385,INV8385,1010,CR
GL-000138,2026-08-07,23042.25,credit,Alpine Equipment Repair — check 4176,4176,1010,CD
GL-000159,2026-08-07,6147.45,debit,Lakeside Grill — invoice 8166,INV8166,1010,CR
GL-000165,2026-08-07,3473.45,debit,Moab Trading Post — invoice 8954,INV8954,1010,CR
GL-000179,2026-08-07,6226.25,debit,Brighton Bistro — invoice 8400,INV8400,1010,CR
GL-000191,2026-08-07,7265.75,debit,Emigration Kitchen — invoice 8404,INV8404,1010,CR
GL-000222,2026-08-07,1480.45,debit,Saltair Supper Club — invoice 8070,INV8070,1010,CR
GL-000324,2026-08-07,3883.05,credit,Wasatch Produce Partners — check 4271,4271,1010,CD
GL-000328,2026-08-07,2400.50,credit,Great Basin Insurance — check 4274,4274,1010,CD
GL-000361,2026-08-07,722.25,credit,Trailhead Print Works — check 4293,4293,1010,CD
GL-000390,2026-08-07,6361.00,credit,Dominguez Olive Oils — check 4311,4311,1010,CD
GL-000405,2026-08-07,1707.55,debit,Silver Fork Cafe — invoice 8822,INV8822,1010,CR
GL-000440,2026-08-07,5569.50,debit,Park City Market — invoice 8336,INV8336,1010,CR
GL-000456,2026-08-07,4735.10,debit,Saltair Supper Club — invoice 8109,INV8109,1010,CR
GL-000503,2026-08-07,2933.30,debit,Juniper Table — remittance,,1010,CR
GL-000517,2026-08-07,5325.55,debit,Salt Flats Beverage — remittance,,1010,CR
GL-000528,2026-08-07,6050.80,debit,Provo Provisions — remittance,,1010,CR
GL-000571,2026-08-07,6058.85,credit,Sego Lily Cleaning — settlement,,1010,CD
GL-000004,2026-08-10,5441.85,debit,Lakeside Grill — invoice 8117,INV8117,1010,CR
GL-000051,2026-08-10,6375.75,credit,Deseret Payroll Services — check 4137,4137,1010,CD
GL-000087,2026-08-10,8371.90,credit,Dominguez Olive Oils — check 4152,4152,1010,CD
GL-000100,2026-08-10,5694.10,credit,Sego Lily Cleaning — check 4157,4157,1010,CD
GL-000101,2026-08-10,5694.10,credit,Weber Fleet Services — check 4158,4158,1010,CD
GL-000133,2026-08-10,7812.10,credit,Alpine Equipment Repair — check 4174,4174,1010,CD
GL-000162,2026-08-10,3622.75,credit,Northgate Paper Supply — check 4189,4189,1010,CD
GL-000241,2026-08-10,3606.70,debit,Bonneville Bagels — invoice 8643,INV8643,1010,CR
GL-000245,2026-08-10,4678.20,credit,Weber Fleet Services — check 4228,4228,1010,CD
GL-000246,2026-08-10,1342.75,credit,Cedar Mesa Spices — check 4229,4229,1010,CD
GL-000271,2026-08-10,4229.95,debit,Wasatch Deli Group — invoice 8326,INV8326,1010,CR
GL-000276,2026-08-10,3119.10,credit,Deseret Payroll Services — check 4243,4243,1010,CD
GL-000280,2026-08-10,4268.05,credit,High Desert Dairy — check 4246,4246,1010,CD
GL-000281,2026-08-10,7369.70,debit,Wasatch Deli Group — invoice 8838,INV8838,1010,CR
GL-000288,2026-08-10,7685.45,credit,Great Basin Insurance — check 4247,4247,1010,CD
GL-000289,2026-08-10,1423.95,credit,Salt Flats Beverage — check 4248,4248,1010,CD
GL-000306,2026-08-10,4995.50,credit,Beehive Packaging — check 4259,4259,1010,CD
GL-000310,2026-08-10,4171.45,credit,Weber Fleet Services — check 4262,4262,1010,CD
GL-000363,2026-08-10,7970.30,debit,Provo Provisions — invoice 8099,INV8099,1010,CR
GL-000376,2026-08-10,5279.05,credit,Rocky Mountain Power — check 4302,4302,1010,CD
GL-000377,2026-08-10,7148.40,credit,Dominguez Olive Oils — check 4303,4303,1010,CD
GL-000401,2026-08-10,4182.80,credit,Cedar Mesa Spices — check 4318,4318,1010,CD
GL-000413,2026-08-10,882.10,credit,Salt Flats Beverage — check 4324,4324,1010,CD
GL-000429,2026-08-10,699.05,debit,Lakeside Grill — invoice 8469,INV8469,1010,CR
GL-000447,2026-08-10,2779.50,credit,Rocky Mountain Power — check 4340,4340,1010,CD
GL-000492,2026-08-10,781.25,debit,High Desert Dairy — remittance,,1010,CR
GL-000518,2026-08-10,5665.80,debit,Copper Ridge Market — remittance,,1010,CR
GL-000529,2026-08-10,705.30,debit,Red Butte Diner — invoice 8561,INV8561,1010,CR
GL-000530,2026-08-10,1875.75,debit,Lakeside Grill — invoice 8423,INV8423,1010,CR
GL-000531,2026-08-10,769.80,debit,Logan Canyon Cafe — invoice 8660,INV8660,1010,CR
GL-000532,2026-08-10,2025.55,debit,Snowbasin Catering — invoice 8249,INV8249,1010,CR
GL-000595,2026-08-10,1318.35,debit,Branch deposit variance,,1010,GJ
GL-000003,2026-08-11,3551.80,debit,Ogden Street Foods — invoice 8580,INV8580,1010,CR
GL-000011,2026-08-11,7662.95,credit,Dominguez Olive Oils — check 4118,4118,1010,CD
GL-000019,2026-08-11,2036.15,credit,Weber Fleet Services — check 4119,4119,1010,CD
GL-000030,2026-08-11,2893.15,credit,Great Basin Insurance — check 4126,4126,1010,CD
GL-000036,2026-08-11,182.80,credit,Great Basin Insurance — check 4130,4130,1010,CD
GL-000050,2026-08-11,7492.05,debit,Canyon Ridge Grocery — invoice 8844,INV8844,1010,CR
GL-000093,2026-08-11,4693.80,debit,Provo Provisions — invoice 8197,INV8197,1010,CR
GL-000106,2026-08-11,7585.90,credit,Dominguez Olive Oils — check 4161,4161,1010,CD
GL-000131,2026-08-11,6695.75,credit,Rocky Mountain Power — check 4172,4172,1010,CD
GL-000145,2026-08-11,2370.20,credit,Alpine Equipment Repair — check 4181,4181,1010,CD
GL-000146,2026-08-11,2369.85,debit,Copper Ridge Market — invoice 8487,INV8487,1010,CR
GL-000152,2026-08-11,1324.70,debit,Saltair Supper Club — invoice 8427,INV8427,1010,CR
GL-000218,2026-08-11,5516.80,debit,Provo Provisions — invoice 8539,INV8539,1010,CR
GL-000242,2026-08-11,7049.80,debit,Bonneville Bagels — invoice 8216,INV8216,1010,CR
GL-000251,2026-08-11,8392.65,credit,Sundance Freight Lines — check 4232,4232,1010,CD
GL-000257,2026-08-11,5564.80,debit,Copper Ridge Market — invoice 8390,INV8390,1010,CR
GL-000264,2026-08-11,5829.60,credit,Zion Cold Storage — check 4237,4237,1010,CD
GL-000275,2026-08-11,6440.55,credit,Salt Flats Beverage — check 4242,4242,1010,CD
GL-000323,2026-08-11,1922.35,credit,Alpine Equipment Repair — check 4270,4270,1010,CD
GL-000434,2026-08-11,7490.25,credit,Sundance Freight Lines — check 4332,4332,1010,CD
GL-000442,2026-08-11,3771.65,debit,Timpanogos Coffee — invoice 8459,INV8459,1010,CR
GL-000444,2026-08-11,1098.10,debit,Moab Trading Post — invoice 8140,INV8140,1010,CR
GL-000450,2026-08-11,6334.30,debit,Lakeside Grill — invoice 8059,INV8059,1010,CR
GL-000455,2026-08-11,3454.75,credit,Trailhead Print Works — check 4343,4343,1010,CD
GL-000463,2026-08-11,3752.40,credit,Rocky Mountain Power — check 4347,4347,1010,CD
GL-000467,2026-08-11,1072.80,credit,Union Pacific Logistics — check 4350,4350,1010,CD
GL-000476,2026-08-11,773.20,debit,Fremont Springs Water — remittance,,1010,CR
GL-000501,2026-08-11,1650.60,debit,Salt Flats Beverage — remittance,,1010,CR
GL-000582,2026-08-11,479.50,credit,Dominguez Olive Oils — settlement,,1010,CD
GL-000001,2026-08-12,174.75,credit,Sundance Freight Lines — check 4115,4115,1010,CD
GL-000010,2026-08-12,5462.80,debit,Lakeside Grill — invoice 8946,INV8946,1010,CR
GL-000035,2026-08-12,7742.35,credit,High Desert Dairy — check 4129,4129,1010,CD
GL-000048,2026-08-12,3275.40,debit,Bearclaw Bakery — invoice 8754,INV8754,1010,CR
GL-000079,2026-08-12,99.15,credit,Cedar Mesa Spices — check 4148,4148,1010,CD
GL-000082,2026-08-12,7259.85,credit,Rocky Mountain Power — check 4150,4150,1010,CD
GL-000083,2026-08-12,7260.45,debit,Red Butte Diner — invoice 8735,INV8735,1010,CR
GL-000098,2026-08-12,372.05,debit,Provo Provisions — invoice 8067,INV8067,1010,CR
GL-000109,2026-08-12,2249.55,debit,Red Butte Diner — invoice 8639,INV8639,1010,CR
GL-000110,2026-08-12,2250.50,debit,Brighton Bistro — invoice 8988,INV8988,1010,CR
GL-000126,2026-08-12,1157.65,debit,Canyon Ridge Grocery — invoice 8804,INV8804,1010,CR
GL-000163,2026-08-12,6077.20,debit,Red Butte Diner — invoice 8599,INV8599,1010,CR
GL-000164,2026-08-12,6078.15,debit,Timpanogos Coffee — invoice 8122,INV8122,1010,CR
GL-000182,2026-08-12,3133.65,debit,Park City Market — invoice 8329,INV8329,1010,CR
GL-000184,2026-08-12,7578.55,credit,Alpine Equipment Repair — check 4199,4199,1010,CD
GL-000197,2026-08-12,6366.95,debit,Juniper Table — invoice 8237,INV8237,1010,CR
GL-000205,2026-08-12,7174.75,credit,Beehive Packaging — check 4208,4208,1010,CD
GL-000210,2026-08-12,8131.05,debit,Logan Canyon Cafe — invoice 8829,INV8829,1010,CR
GL-000236,2026-08-12,5180.55,debit,Lakeside Grill — invoice 8785,INV8785,1010,CR
GL-000250,2026-08-12,671.80,credit,Union Pacific Logistics — check 4231,4231,1010,CD
GL-000274,2026-08-12,7854.10,credit,Dominguez Olive Oils — check 4241,4241,1010,CD
GL-000279,2026-08-12,5216.10,debit,Moab Trading Post — invoice 8887,INV8887,1010,CR
GL-000285,2026-08-12,832.25,debit,Alta Vista Bistro — invoice 8304,INV8304,1010,CR
GL-000313,2026-08-12,6310.35,debit,Bonneville Bagels — invoice 8042,INV8042,1010,CR
GL-000329,2026-08-12,5413.60,credit,Alpine Equipment Repair — check 4275,4275,1010,CD
GL-000333,2026-08-12,7254.80,credit,Wasatch Produce Partners — check 4278,4278,1010,CD
GL-000338,2026-08-12,2648.80,credit,Union Pacific Logistics — check 4282,4282,1010,CD
GL-000341,2026-08-12,4813.55,debit,Park City Market — invoice 8972,INV8972,1010,CR
GL-000352,2026-08-12,3422.35,debit,Logan Canyon Cafe — invoice 8882,INV8882,1010,CR
GL-000387,2026-08-12,3190.35,debit,Snowbasin Catering — invoice 8866,INV8866,1010,CR
GL-000394,2026-08-12,4519.85,credit,Sundance Freight Lines — check 4313,4313,1010,CD
GL-000395,2026-08-12,955.20,credit,Zion Cold Storage — check 4314,4314,1010,CD
GL-000404,2026-08-12,7753.60,debit,Juniper Table — invoice 8989,INV8989,1010,CR
GL-000420,2026-08-12,6213.45,debit,Moab Trading Post — invoice 8477,INV8477,1010,CR
GL-000454,2026-08-12,2745.00,debit,Ogden Street Foods — invoice 8786,INV8786,1010,CR
GL-000491,2026-08-12,1690.65,debit,Wasatch Produce Partners — remittance,,1010,CR
GL-000512,2026-08-12,5851.10,debit,Union Pacific Logistics — remittance,,1010,CR
GL-000572,2026-08-12,7020.20,credit,Zion Cold Storage — settlement,,1010,CD
GL-000587,2026-08-12,938.65,debit,Emigration Kitchen — invoice 8688,INV8688,1010,CR
GL-000002,2026-08-13,7026.90,credit,Cedar Mesa Spices — check 4116,4116,1010,CD
GL-000018,2026-08-13,5167.60,debit,Ogden Street Foods — invoice 8314,INV8314,1010,CR
GL-000028,2026-08-13,7074.90,credit,Northgate Paper Supply — check 4125,4125,1010,CD
GL-000043,2026-08-13,2125.95,credit,Zion Cold Storage — check 4133,4133,1010,CD
GL-000060,2026-08-13,2564.80,credit,Great Basin Insurance — check 4140,4140,1010,CD
GL-000075,2026-08-13,16263.25,credit,Deseret Payroll Services — check 4146,4146,1010,CD
GL-000112,2026-08-13,2396.30,credit,Trailhead Print Works — check 4164,4164,1010,CD
GL-000113,2026-08-13,2396.30,debit,Alta Vista Bistro — invoice 8856,INV8856,1010,CR
GL-000156,2026-08-13,7382.75,debit,Redrock Provisions — invoice 8486,INV8486,1010,CR
GL-000219,2026-08-13,4132.05,credit,Alpine Equipment Repair — check 4216,4216,1010,CD
GL-000232,2026-08-13,2685.75,credit,Union Pacific Logistics — check 4223,4223,1010,CD
GL-000308,2026-08-13,5929.85,debit,Park City Market — invoice 8741,INV8741,1010,CR
GL-000322,2026-08-13,5085.90,debit,Copper Ridge Market — invoice 8256,INV8256,1010,CR
GL-000336,2026-08-13,2937.70,credit,Great Basin Insurance — check 4280,4280,1010,CD
GL-000359,2026-08-13,1871.85,debit,Alta Vista Bistro — invoice 8803,INV8803,1010,CR
GL-000368,2026-08-13,3548.95,credit,Rocky Mountain Power — check 4298,4298,1010,CD
GL-000371,2026-08-13,2120.40,debit,Moab Trading Post — invoice 8024,INV8024,1010,CR
GL-000382,2026-08-13,3125.85,credit,Deseret Payroll Services — check 4307,4307,1010,CD
GL-000407,2026-08-13,2729.90,credit,Weber Fleet Services — check 4321,4321,1010,CD
GL-000426,2026-08-13,7258.15,debit,Timpanogos Coffee — invoice 8230,INV8230,1010,CR
GL-000439,2026-08-13,3987.70,credit,Trailhead Print Works — check 4336,4336,1010,CD
GL-000479,2026-08-13,3422.75,debit,Fremont Springs Water — remittance,,1010,CR
GL-000481,2026-08-13,1780.35,debit,Kanab Creek Supply — remittance,,1010,CR
GL-000486,2026-08-13,2063.35,debit,Ogden Street Foods — remittance,,1010,CR
GL-000520,2026-08-13,423.75,debit,Alta Vista Bistro — remittance,,1010,CR
GL-000534,2026-08-13,1093.55,debit,Moab Trading Post — invoice 8939,INV8939,1010,CR
GL-000581,2026-08-13,1063.50,credit,Zion Cold Storage — settlement,,1010,CD
GL-000585,2026-08-13,442.00,debit,Alta Vista Bistro — invoice 8363,INV8363,1010,CR
GL-000588,2026-08-13,938.65,debit,Emigration Kitchen — invoice 8688,INV8688,1010,CR
GL-000008,2026-08-14,5419.15,debit,Heber Valley Foods — invoice 8914,INV8914,1010,CR
GL-000081,2026-08-14,1018.55,debit,Snowbasin Catering — invoice 8818,INV8818,1010,CR
GL-000084,2026-08-14,1093.65,credit,Zion Cold Storage — check 4151,4151,1010,CD
GL-000090,2026-08-14,843.45,credit,Trailhead Print Works — check 4155,4155,1010,CD
GL-000096,2026-08-14,5571.15,credit,Rocky Mountain Power — check 4156,4156,1010,CD
GL-000117,2026-08-14,780.50,debit,Copper Ridge Market — invoice 8116,INV8116,1010,CR
GL-000147,2026-08-14,8293.50,credit,Dominguez Olive Oils — check 4182,4182,1010,CD
GL-000180,2026-08-14,5447.30,credit,Sundance Freight Lines — check 4198,4198,1010,CD
GL-000186,2026-08-14,2998.55,credit,Cache Valley Creamery — check 4201,4201,1010,CD
GL-000190,2026-08-14,5374.85,debit,Saltair Supper Club — invoice 8403,INV8403,1010,CR
GL-000239,2026-08-14,1121.20,credit,Dominguez Olive Oils — check 4226,4226,1010,CD
GL-000252,2026-08-14,1211.80,debit,Juniper Table — invoice 8761,INV8761,1010,CR
GL-000292,2026-08-14,8078.15,credit,Union Pacific Logistics — check 4251,4251,1010,CD
GL-000312,2026-08-14,987.35,debit,Granite Peak Foods — invoice 8905,INV8905,1010,CR
GL-000330,2026-08-14,5473.90,credit,Great Basin Insurance — check 4276,4276,1010,CD
GL-000365,2026-08-14,223.30,credit,Salt Flats Beverage — check 4296,4296,1010,CD
GL-000385,2026-08-14,6956.85,debit,Logan Canyon Cafe — invoice 8311,INV8311,1010,CR
GL-000411,2026-08-14,6153.85,credit,Great Basin Insurance — check 4323,4323,1010,CD
GL-000435,2026-08-14,2304.75,credit,Salt Flats Beverage — check 4333,4333,1010,CD
GL-000458,2026-08-14,965.00,debit,Juniper Table — invoice 8610,INV8610,1010,CR
