entry_id,posting_date,amount,direction,description,reference,gl_account,source_journal
GL-000044,2026-07-06,5591.20,debit,Cottonwood Catering — invoice 8096,INV8096,1010,CR
GL-000054,2026-07-06,4773.00,debit,Snowbasin Catering — invoice 8507,INV8507,1010,CR
GL-000061,2026-07-06,2126.35,credit,High Desert Dairy — check 4142,4142,1010,CD
GL-000143,2026-07-06,22793.15,debit,Provo Provisions — invoice 8471,INV8471,1010,CR
GL-000144,2026-07-06,3483.20,credit,Alpine Equipment Repair — check 4180,4180,1010,CD
GL-000156,2026-07-06,3208.55,credit,Trailhead Print Works — check 4185,4185,1010,CD
GL-000167,2026-07-06,7019.35,credit,Beehive Packaging — check 4194,4194,1010,CD
GL-000177,2026-07-06,6488.70,debit,Redrock Provisions — invoice 8549,INV8549,1010,CR
GL-000223,2026-07-06,4891.75,credit,Cedar Mesa Spices — check 4220,4220,1010,CD
GL-000231,2026-07-06,2498.70,credit,Dominguez Olive Oils — check 4222,4222,1010,CD
GL-000235,2026-07-06,6366.10,debit,Saltair Supper Club — invoice 8471,INV8471,1010,CR
GL-000239,2026-07-06,5278.45,debit,Emigration Kitchen — invoice 8465,INV8465,1010,CR
GL-000281,2026-07-06,4408.35,debit,Lakeside Grill — invoice 8352,INV8352,1010,CR
GL-000285,2026-07-06,6725.05,credit,Weber Fleet Services — check 4247,4247,1010,CD
GL-000291,2026-07-06,2540.60,credit,Great Basin Insurance — check 4251,4251,1010,CD
GL-000324,2026-07-06,5331.75,debit,Cottonwood Catering — invoice 8969,INV8969,1010,CR
GL-000332,2026-07-06,6718.15,debit,Park City Market — invoice 8027,INV8027,1010,CR
GL-000337,2026-07-06,3139.90,credit,Deseret Payroll Services — check 4270,4270,1010,CD
GL-000351,2026-07-06,1767.95,debit,Ogden Street Foods — invoice 8699,INV8699,1010,CR
GL-000369,2026-07-06,1917.60,debit,Red Butte Diner — invoice 8690,INV8690,1010,CR
GL-000395,2026-07-06,4614.80,debit,Provo Provisions — remittance,,1010,CR
GL-000406,2026-07-06,2878.30,debit,Beehive Packaging — remittance,,1010,CR
GL-000409,2026-07-06,1860.60,debit,Beehive Packaging — remittance,,1010,CR
GL-000426,2026-07-06,773.35,debit,Red Butte Diner — invoice 8713,INV8713,1010,CR
GL-000034,2026-07-07,1249.80,debit,Bonneville Bagels — invoice 8309,INV8309,1010,CR
GL-000046,2026-07-07,2944.25,debit,Ogden Street Foods — invoice 8122,INV8122,1010,CR
GL-000141,2026-07-07,1361.15,debit,Alta Vista Bistro — invoice 8623,INV8623,1010,CR
GL-000174,2026-07-07,4219.70,credit,Dominguez Olive Oils — check 4197,4197,1010,CD
GL-000178,2026-07-07,4808.60,credit,Great Basin Insurance — check 4199,4199,1010,CD
GL-000227,2026-07-07,3321.70,debit,Timpanogos Coffee — invoice 8658,INV8658,1010,CR
GL-000234,2026-07-07,5983.45,credit,Great Basin Insurance — check 4224,4224,1010,CD
GL-000306,2026-07-07,7831.10,credit,Beehive Packaging — check 4259,4259,1010,CD
GL-000320,2026-07-07,5390.75,credit,Trailhead Print Works — check 4264,4264,1010,CD
GL-000338,2026-07-07,3943.10,debit,Wasatch Deli Group — invoice 8897,INV8897,1010,CR
GL-000350,2026-07-07,4975.00,debit,Bonneville Bagels — invoice 8128,INV8128,1010,CR
GL-000355,2026-07-07,5983.55,debit,Brighton Bistro — invoice 8837,INV8837,1010,CR
GL-000383,2026-07-07,5170.20,debit,Kanab Creek Supply — remittance,,1010,CR
GL-000398,2026-07-07,1724.60,debit,Silver Fork Cafe — remittance,,1010,CR
GL-000399,2026-07-07,2206.35,debit,Deseret Payroll Services — remittance,,1010,CR
GL-000402,2026-07-07,743.05,debit,Moab Trading Post — remittance,,1010,CR
GL-000423,2026-07-07,464.05,debit,Logan Canyon Cafe — invoice 8560,INV8560,1010,CR
GL-000424,2026-07-07,1633.05,debit,Cottonwood Catering — invoice 8910,INV8910,1010,CR
GL-000425,2026-07-07,721.40,debit,Saltair Supper Club — invoice 8991,INV8991,1010,CR
GL-000448,2026-07-07,1658.70,debit,Emigration Kitchen — invoice 8441,INV8441,1010,CR
GL-000449,2026-07-07,1511.45,debit,Alta Vista Bistro — invoice 8168,INV8168,1010,CR
GL-000450,2026-07-07,3029.50,debit,Saltair Supper Club — invoice 8851,INV8851,1010,CR
GL-000465,2026-07-07,8812.10,credit,Beehive Packaging — settlement,,1010,CD
GL-000045,2026-07-08,1996.20,debit,Ogden Street Foods — invoice 8135,INV8135,1010,CR
GL-000049,2026-07-08,6479.75,credit,Weber Fleet Services — check 4135,4135,1010,CD
GL-000067,2026-07-08,7084.15,debit,Park City Market — invoice 8465,INV8465,1010,CR
GL-000069,2026-07-08,4496.55,credit,Alpine Equipment Repair — check 4147,4147,1010,CD
GL-000120,2026-07-08,2885.25,credit,Weber Fleet Services — check 4168,4168,1010,CD
GL-000142,2026-07-08,3363.60,debit,Canyon Ridge Grocery — invoice 8119,INV8119,1010,CR
GL-000166,2026-07-08,837.10,debit,Redrock Provisions — invoice 8554,INV8554,1010,CR
GL-000202,2026-07-08,6069.70,credit,Sundance Freight Lines — check 4208,4208,1010,CD
GL-000233,2026-07-08,3012.25,debit,Timpanogos Coffee — invoice 8109,INV8109,1010,CR
GL-000238,2026-07-08,537.25,debit,Park City Market — invoice 8335,INV8335,1010,CR
GL-000256,2026-07-08,1832.80,debit,Alta Vista Bistro — invoice 8280,INV8280,1010,CR
GL-000283,2026-07-08,3543.40,credit,Trailhead Print Works — check 4245,4245,1010,CD
GL-000304,2026-07-08,418.55,debit,Canyon Ridge Grocery — invoice 8062,INV8062,1010,CR
GL-000329,2026-07-08,3537.75,credit,Wasatch Produce Partners — check 4266,4266,1010,CD
GL-000341,2026-07-08,2332.45,debit,Cottonwood Catering — invoice 8619,INV8619,1010,CR
GL-000356,2026-07-08,6176.70,debit,Provo Provisions — invoice 8834,INV8834,1010,CR
GL-000367,2026-07-08,5414.90,debit,Granite Peak Foods — invoice 8921,INV8921,1010,CR
GL-000373,2026-07-08,5590.30,credit,Rocky Mountain Power — check 4283,4283,1010,CD
GL-000374,2026-07-08,4152.85,credit,Sundance Freight Lines — check 4284,4284,1010,CD
GL-000381,2026-07-08,1404.40,debit,Fremont Springs Water — remittance,,1010,CR
GL-000434,2026-07-08,2710.45,debit,Saltair Supper Club — invoice 8522,INV8522,1010,CR
GL-000435,2026-07-08,1250.85,debit,Provo Provisions — invoice 8504,INV8504,1010,CR
GL-000436,2026-07-08,2496.45,debit,Provo Provisions — invoice 8189,INV8189,1010,CR
GL-000455,2026-07-08,2580.75,debit,Snowbasin Catering — invoice 8915,INV8915,1010,CR
GL-000002,2026-07-09,7675.85,debit,Logan Canyon Cafe — invoice 8799,INV8799,1010,CR
GL-000006,2026-07-09,8533.85,credit,Trailhead Print Works — check 4113,4113,1010,CD
GL-000085,2026-07-09,336.40,credit,Cedar Mesa Spices — check 4158,4158,1010,CD
GL-000093,2026-07-09,5242.10,debit,Lakeside Grill — invoice 8629,INV8629,1010,CR
GL-000094,2026-07-09,5243.30,debit,Timpanogos Coffee — invoice 8639,INV8639,1010,CR
GL-000136,2026-07-09,1313.15,debit,Snowbasin Catering — invoice 8518,INV8518,1010,CR
GL-000137,2026-07-09,1313.15,debit,Heber Valley Foods — invoice 8295,INV8295,1010,CR
GL-000180,2026-07-09,2454.45,debit,Ogden Street Foods — invoice 8122,INV8122,1010,CR
GL-000186,2026-07-09,7776.75,debit,Copper Ridge Market — invoice 8504,INV8504,1010,CR
GL-000221,2026-07-09,1899.75,credit,Great Basin Insurance — check 4218,4218,1010,CD
GL-000248,2026-07-09,6041.45,credit,High Desert Dairy — check 4232,4232,1010,CD
GL-000290,2026-07-09,940.30,credit,Cedar Mesa Spices — check 4250,4250,1010,CD
GL-000299,2026-07-09,3240.90,debit,Provo Provisions — invoice 8676,INV8676,1010,CR
GL-000328,2026-07-09,2708.05,credit,Deseret Payroll Services — check 4265,4265,1010,CD
GL-000382,2026-07-09,3086.10,debit,Antelope Island Foods — remittance,,1010,CR
GL-000396,2026-07-09,2180.20,debit,Bearclaw Bakery — remittance,,1010,CR
GL-000419,2026-07-09,782.15,debit,Logan Canyon Cafe — remittance,,1010,CR
GL-000422,2026-07-09,2216.15,debit,Zion Cold Storage — remittance,,1010,CR
GL-000445,2026-07-09,2314.95,debit,Bonneville Bagels — invoice 8823,INV8823,1010,CR
GL-000456,2026-07-09,1518.15,debit,Heber Valley Foods — invoice 8096,INV8096,1010,CR
GL-000457,2026-07-09,536.55,debit,Snowbasin Catering — invoice 8879,INV8879,1010,CR
GL-000463,2026-07-09,4880.80,credit,Northgate Paper Supply — settlement,,1010,CD
GL-000001,2026-07-10,7208.60,debit,Alta Vista Bistro — invoice 8390,INV8390,1010,CR
GL-000038,2026-07-10,2890.00,credit,Northgate Paper Supply — check 4131,4131,1010,CD
GL-000039,2026-07-10,4193.75,debit,Redrock Provisions — invoice 8126,INV8126,1010,CR
GL-000064,2026-07-10,4798.20,credit,Cache Valley Creamery — check 4144,4144,1010,CD
GL-000065,2026-07-10,4798.20,credit,Alpine Equipment Repair — check 4145,4145,1010,CD
GL-000071,2026-07-10,348.25,credit,Sego Lily Cleaning — check 4149,4149,1010,CD
GL-000072,2026-07-10,6613.95,debit,Bonneville Bagels — invoice 8982,INV8982,1010,CR
GL-000088,2026-07-10,5410.80,debit,Bearclaw Bakery — invoice 8350,INV8350,1010,CR
GL-000089,2026-07-10,5410.80,credit,Dominguez Olive Oils — check 4160,4160,1010,CD
GL-000096,2026-07-10,1140.20,debit,Provo Provisions — invoice 8575,INV8575,1010,CR
GL-000140,2026-07-10,8586.40,credit,Deseret Payroll Services — check 4179,4179,1010,CD
GL-000191,2026-07-10,7650.55,debit,Bearclaw Bakery — invoice 8748,INV8748,1010,CR
GL-000194,2026-07-10,806.05,credit,Union Pacific Logistics — check 4206,4206,1010,CD
GL-000198,2026-07-10,6597.95,debit,Timpanogos Coffee — invoice 8544,INV8544,1010,CR
GL-000205,2026-07-10,16655.30,debit,Silver Fork Cafe — invoice 8948,INV8948,1010,CR
GL-000230,2026-07-10,5448.20,debit,Canyon Ridge Grocery — invoice 8998,INV8998,1010,CR
GL-000260,2026-07-10,6884.45,debit,Logan Canyon Cafe — invoice 8734,INV8734,1010,CR
GL-000309,2026-07-10,2058.60,debit,Heber Valley Foods — invoice 8323,INV8323,1010,CR
GL-000311,2026-07-10,2911.25,debit,Cottonwood Catering — invoice 8204,INV8204,1010,CR
GL-000326,2026-07-10,3272.45,debit,Provo Provisions — invoice 8213,INV8213,1010,CR
GL-000333,2026-07-10,6178.00,debit,Provo Provisions — invoice 8030,INV8030,1010,CR
GL-000343,2026-07-10,516.95,debit,Ogden Street Foods — invoice 8830,INV8830,1010,CR
GL-000345,2026-07-10,2245.95,credit,Dominguez Olive Oils — check 4272,4272,1010,CD
GL-000370,2026-07-10,6031.85,debit,Bearclaw Bakery — invoice 8276,INV8276,1010,CR
GL-000444,2026-07-10,2329.40,debit,Bearclaw Bakery — invoice 8762,INV8762,1010,CR
GL-000446,2026-07-10,2110.70,debit,Copper Ridge Market — invoice 8726,INV8726,1010,CR
GL-000447,2026-07-10,621.00,debit,Granite Peak Foods — invoice 8936,INV8936,1010,CR
GL-000109,2026-07-13,4765.30,debit,Copper Ridge Market — invoice 8043,INV8043,1010,CR
GL-000110,2026-07-13,4766.25,debit,Cottonwood Catering — invoice 8796,INV8796,1010,CR
GL-000139,2026-07-13,803.45,debit,Alta Vista Bistro — invoice 8134,INV8134,1010,CR
GL-000183,2026-07-13,17075.80,debit,Bonneville Bagels — invoice 8708,INV8708,1010,CR
GL-000220,2026-07-13,5026.70,debit,Logan Canyon Cafe — invoice 8980,INV8980,1010,CR
GL-000241,2026-07-13,5292.85,credit,Deseret Payroll Services — check 4227,4227,1010,CD
GL-000245,2026-07-13,414.40,credit,Cedar Mesa Spices — check 4230,4230,1010,CD
GL-000252,2026-07-13,5164.65,debit,Snowbasin Catering — invoice 8553,INV8553,1010,CR
GL-000269,2026-07-13,6024.20,credit,Deseret Payroll Services — check 4240,4240,1010,CD
GL-000270,2026-07-13,2847.95,credit,Beehive Packaging — check 4241,4241,1010,CD
GL-000277,2026-07-13,7781.65,debit,Silver Fork Cafe — invoice 8752,INV8752,1010,CR
GL-000300,2026-07-13,621.40,debit,Moab Trading Post — invoice 8697,INV8697,1010,CR
GL-000312,2026-07-13,3410.35,debit,Heber Valley Foods — invoice 8317,INV8317,1010,CR
GL-000325,2026-07-13,4730.70,debit,Granite Peak Foods — invoice 8669,INV8669,1010,CR
GL-000352,2026-07-13,7294.20,debit,Copper Ridge Market — invoice 8992,INV8992,1010,CR
GL-000371,2026-07-13,4557.20,debit,Provo Provisions — invoice 8759,INV8759,1010,CR
GL-000372,2026-07-13,4343.45,credit,Northgate Paper Supply — check 4282,4282,1010,CD
GL-000405,2026-07-13,479.45,debit,Redrock Provisions — remittance,,1010,CR
GL-000432,2026-07-13,1724.55,debit,Provo Provisions — invoice 8671,INV8671,1010,CR
GL-000467,2026-07-13,381.75,credit,Sego Lily Cleaning — settlement,,1010,CD
GL-000468,2026-07-13,1211.85,debit,Brighton Bistro — invoice 8313,INV8313,1010,CR
GL-000476,2026-07-13,573.95,debit,Cash clearing adjustment,,1010,GJ
GL-000008,2026-07-14,5204.20,debit,Juniper Table — invoice 8142,INV8142,1010,CR
GL-000012,2026-07-14,3839.50,credit,Great Basin Insurance — check 4116,4116,1010,CD
GL-000026,2026-07-14,1660.55,credit,Rocky Mountain Power — check 4124,4124,1010,CD
GL-000104,2026-07-14,3760.25,debit,Ogden Street Foods — invoice 8758,INV8758,1010,CR
GL-000123,2026-07-14,4348.65,credit,Trailhead Print Works — check 4170,4170,1010,CD
GL-000127,2026-07-14,4557.65,debit,Park City Market — invoice 8095,INV8095,1010,CR
GL-000128,2026-07-14,4557.05,credit,Sundance Freight Lines — check 4172,4172,1010,CD
GL-000131,2026-07-14,8522.20,credit,Rocky Mountain Power — check 4175,4175,1010,CD
GL-000138,2026-07-14,2907.20,credit,Beehive Packaging — check 4178,4178,1010,CD
GL-000147,2026-07-14,2549.55,debit,Moab Trading Post — invoice 8720,INV8720,1010,CR
GL-000204,2026-07-14,2760.90,debit,Cottonwood Catering — invoice 8527,INV8527,1010,CR
GL-000214,2026-07-14,3781.80,credit,Salt Flats Beverage — check 4215,4215,1010,CD
GL-000222,2026-07-14,2149.70,credit,Great Basin Insurance — check 4219,4219,1010,CD
GL-000272,2026-07-14,2364.70,credit,Weber Fleet Services — check 4242,4242,1010,CD
GL-000282,2026-07-14,306.65,debit,Emigration Kitchen — invoice 8523,INV8523,1010,CR
GL-000294,2026-07-14,7913.85,debit,Cottonwood Catering — invoice 8693,INV8693,1010,CR
GL-000314,2026-07-14,3820.50,debit,Park City Market — invoice 8413,INV8413,1010,CR
GL-000346,2026-07-14,7203.40,debit,Wasatch Deli Group — invoice 8793,INV8793,1010,CR
GL-000349,2026-07-14,3423.70,credit,Cedar Mesa Spices — check 4274,4274,1010,CD
GL-000384,2026-07-14,1269.00,debit,Fremont Springs Water — remittance,,1010,CR
GL-000394,2026-07-14,1262.05,debit,Bearclaw Bakery — remittance,,1010,CR
GL-000430,2026-07-14,2339.80,debit,Cottonwood Catering — invoice 8484,INV8484,1010,CR
GL-000431,2026-07-14,2483.75,debit,Lakeside Grill — invoice 8709,INV8709,1010,CR
GL-000433,2026-07-14,2191.15,debit,Silver Fork Cafe — invoice 8861,INV8861,1010,CR
GL-000439,2026-07-14,2180.85,debit,Silver Fork Cafe — invoice 8881,INV8881,1010,CR
GL-000440,2026-07-14,2788.25,debit,Timpanogos Coffee — invoice 8735,INV8735,1010,CR
GL-000469,2026-07-14,1211.85,debit,Brighton Bistro — invoice 8313,INV8313,1010,CR
GL-000472,2026-07-14,582.85,debit,Cottonwood Catering — invoice 8309,INV8309,1010,CR
GL-000005,2026-07-15,1325.75,debit,Heber Valley Foods — invoice 8412,INV8412,1010,CR
GL-000009,2026-07-15,7019.30,debit,Saltair Supper Club — invoice 8345,INV8345,1010,CR
GL-000063,2026-07-15,6483.10,credit,Trailhead Print Works — check 4143,4143,1010,CD
GL-000103,2026-07-15,2645.75,debit,Snowbasin Catering — invoice 8748,INV8748,1010,CR
GL-000118,2026-07-15,8032.50,debit,Silver Fork Cafe — invoice 8447,INV8447,1010,CR
GL-000119,2026-07-15,8032.85,debit,Heber Valley Foods — invoice 8964,INV8964,1010,CR
GL-000129,2026-07-15,5772.20,credit,Cache Valley Creamery — check 4173,4173,1010,CD
GL-000153,2026-07-15,6848.75,credit,Alpine Equipment Repair — check 4184,4184,1010,CD
GL-000158,2026-07-15,689.75,credit,Dominguez Olive Oils — check 4187,4187,1010,CD
GL-000160,2026-07-15,7826.15,credit,High Desert Dairy — check 4188,4188,1010,CD
GL-000161,2026-07-15,7826.15,credit,Union Pacific Logistics — check 4189,4189,1010,CD
GL-000170,2026-07-15,6944.85,debit,Ogden Street Foods — invoice 8587,INV8587,1010,CR
GL-000254,2026-07-15,2937.60,debit,Red Butte Diner — invoice 8731,INV8731,1010,CR
GL-000261,2026-07-15,4827.45,credit,Union Pacific Logistics — check 4237,4237,1010,CD
GL-000266,2026-07-15,2598.80,credit,Sundance Freight Lines — check 4238,4238,1010,CD
GL-000295,2026-07-15,1741.40,credit,Union Pacific Logistics — check 4253,4253,1010,CD
GL-000408,2026-07-15,5656.10,debit,Bearclaw Bakery — remittance,,1010,CR
GL-000414,2026-07-15,2211.85,debit,Beehive Packaging — remittance,,1010,CR
GL-000437,2026-07-15,930.00,debit,Timpanogos Coffee — invoice 8170,INV8170,1010,CR
GL-000438,2026-07-15,2138.95,debit,Moab Trading Post — invoice 8384,INV8384,1010,CR
GL-000458,2026-07-15,6673.10,credit,Union Pacific Logistics — settlement,,1010,CD
GL-000461,2026-07-15,4955.75,credit,Zion Cold Storage — settlement,,1010,CD
GL-000470,2026-07-15,1057.25,debit,Timpanogos Coffee — invoice 8184,INV8184,1010,CR
GL-000473,2026-07-15,582.85,debit,Cottonwood Catering — invoice 8309,INV8309,1010,CR
GL-000011,2026-07-16,21275.90,credit,Great Basin Insurance — check 4115,4115,1010,CD
GL-000028,2026-07-16,4999.35,credit,Zion Cold Storage — check 4125,4125,1010,CD
GL-000052,2026-07-16,6353.35,credit,Salt Flats Beverage — check 4137,4137,1010,CD
GL-000053,2026-07-16,6353.35,credit,Wasatch Produce Partners — check 4138,4138,1010,CD
GL-000080,2026-07-16,969.85,credit,Deseret Payroll Services — check 4154,4154,1010,CD
GL-000150,2026-07-16,3412.50,debit,Bearclaw Bakery — invoice 8082,INV8082,1010,CR
GL-000163,2026-07-16,3965.25,credit,Union Pacific Logistics — check 4191,4191,1010,CD
GL-000164,2026-07-16,3965.60,credit,Sego Lily Cleaning — check 4192,4192,1010,CD
GL-000237,2026-07-16,862.60,debit,Redrock Provisions — invoice 8499,INV8499,1010,CR
GL-000244,2026-07-16,5728.10,debit,Juniper Table — invoice 8664,INV8664,1010,CR
GL-000253,2026-07-16,6300.60,credit,Zion Cold Storage — check 4234,4234,1010,CD
GL-000275,2026-07-16,8013.80,debit,Ogden Street Foods — invoice 8222,INV8222,1010,CR
GL-000292,2026-07-16,2437.20,debit,Copper Ridge Market — invoice 8368,INV8368,1010,CR
GL-000297,2026-07-16,2655.45,debit,Heber Valley Foods — invoice 8088,INV8088,1010,CR
GL-000315,2026-07-16,7036.00,credit,Sundance Freight Lines — check 4261,4261,1010,CD
GL-000319,2026-07-16,398.45,credit,Sego Lily Cleaning — check 4263,4263,1010,CD
GL-000347,2026-07-16,5192.15,credit,Union Pacific Logistics — check 4273,4273,1010,CD
GL-000365,2026-07-16,3721.40,credit,Alpine Equipment Repair — check 4280,4280,1010,CD
GL-000375,2026-07-16,6820.60,debit,Ogden Street Foods — invoice 8194,INV8194,1010,CR
GL-000376,2026-07-16,4818.80,debit,Alta Vista Bistro — invoice 8672,INV8672,1010,CR
GL-000387,2026-07-16,6006.75,debit,Fremont Springs Water — remittance,,1010,CR
GL-000411,2026-07-16,3702.30,debit,Wasatch Produce Partners — remittance,,1010,CR
GL-000471,2026-07-16,1057.25,debit,Timpanogos Coffee — invoice 8184,INV8184,1010,CR
GL-000035,2026-07-17,3171.75,debit,Canyon Ridge Grocery — invoice 8935,INV8935,1010,CR
GL-000060,2026-07-17,7938.65,debit,Provo Provisions — invoice 8666,INV8666,1010,CR
GL-000075,2026-07-17,8033.30,debit,Brighton Bistro — invoice 8529,INV8529,1010,CR
GL-000078,2026-07-17,6323.60,credit,Dominguez Olive Oils — check 4152,4152,1010,CD
GL-000087,2026-07-17,7675.10,credit,Deseret Payroll Services — check 4159,4159,1010,CD
