item_type,item_id,true_match_group,scenario_code,exception_code,expected_risk,expected_disposition,note
ledger,GL-000019,SCN-01-G0028,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000029,SCN-01-G0029,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000020,SCN-01-G0029,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000030,SCN-01-G0030,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000021,SCN-01-G0030,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000031,SCN-01-G0031,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000022,SCN-01-G0031,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000032,SCN-01-G0032,SCN-01,,high,match,"Amount, reference and date agree"
ledger,GL-000023,SCN-01-G0032,SCN-01,,high,match,"Amount, reference and date agree"
bank,BT-000033,SCN-01-G0033,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000024,SCN-01-G0033,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000034,SCN-01-G0034,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000025,SCN-01-G0034,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000035,SCN-01-G0035,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000026,SCN-01-G0035,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000036,SCN-01-G0036,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000027,SCN-01-G0036,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000037,SCN-01-G0037,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000028,SCN-01-G0037,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000038,SCN-01-G0038,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000029,SCN-01-G0038,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000039,SCN-01-G0039,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000030,SCN-01-G0039,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000040,SCN-01-G0040,SCN-01,,high,match,"Amount, reference and date agree"
ledger,GL-000031,SCN-01-G0040,SCN-01,,high,match,"Amount, reference and date agree"
bank,BT-000041,SCN-01-G0041,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000032,SCN-01-G0041,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000042,SCN-01-G0042,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000033,SCN-01-G0042,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000043,SCN-01-G0043,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000034,SCN-01-G0043,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000044,SCN-01-G0044,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000035,SCN-01-G0044,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000045,SCN-01-G0045,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000036,SCN-01-G0045,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000046,SCN-01-G0046,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000037,SCN-01-G0046,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000047,SCN-01-G0047,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000038,SCN-01-G0047,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000048,SCN-01-G0048,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000039,SCN-01-G0048,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000049,SCN-01-G0049,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000040,SCN-01-G0049,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000050,SCN-01-G0050,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
ledger,GL-000041,SCN-01-G0050,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
bank,BT-000051,SCN-01-G0051,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000042,SCN-01-G0051,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000052,SCN-01-G0052,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000043,SCN-01-G0052,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000053,SCN-01-G0053,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000044,SCN-01-G0053,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000054,SCN-01-G0054,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000045,SCN-01-G0054,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000055,SCN-01-G0055,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000046,SCN-01-G0055,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000056,SCN-01-G0056,SCN-01,,high,match,"Amount, reference and date agree"
ledger,GL-000047,SCN-01-G0056,SCN-01,,high,match,"Amount, reference and date agree"
bank,BT-000057,SCN-01-G0057,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000048,SCN-01-G0057,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000058,SCN-01-G0058,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000049,SCN-01-G0058,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000059,SCN-01-G0059,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000050,SCN-01-G0059,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000060,SCN-01-G0060,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000051,SCN-01-G0060,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000061,SCN-01-G0061,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000052,SCN-01-G0061,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000062,SCN-01-G0062,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
ledger,GL-000053,SCN-01-G0062,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
bank,BT-000063,SCN-01-G0063,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000054,SCN-01-G0063,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000064,SCN-01-G0064,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000055,SCN-01-G0064,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000065,SCN-01-G0065,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
ledger,GL-000056,SCN-01-G0065,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
bank,BT-000066,SCN-01-G0066,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000057,SCN-01-G0066,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000067,SCN-01-G0067,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000058,SCN-01-G0067,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000068,SCN-01-G0068,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000059,SCN-01-G0068,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000069,SCN-01-G0069,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000060,SCN-01-G0069,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000070,SCN-01-G0070,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000061,SCN-01-G0070,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000071,SCN-01-G0071,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000062,SCN-01-G0071,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000072,SCN-01-G0072,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000063,SCN-01-G0072,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000073,SCN-01-G0073,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000064,SCN-01-G0073,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000074,SCN-01-G0074,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
ledger,GL-000065,SCN-01-G0074,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
bank,BT-000075,SCN-01-G0075,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000066,SCN-01-G0075,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000076,SCN-01-G0076,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000067,SCN-01-G0076,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000077,SCN-01-G0077,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000068,SCN-01-G0077,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000078,SCN-01-G0078,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000069,SCN-01-G0078,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000079,SCN-01-G0079,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000070,SCN-01-G0079,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000080,SCN-01-G0080,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000071,SCN-01-G0080,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000081,SCN-01-G0081,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000072,SCN-01-G0081,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000082,SCN-01-G0082,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000073,SCN-01-G0082,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000083,SCN-01-G0083,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
ledger,GL-000074,SCN-01-G0083,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
bank,BT-000084,SCN-01-G0084,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000075,SCN-01-G0084,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000085,SCN-01-G0085,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000076,SCN-01-G0085,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000086,SCN-01-G0086,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
ledger,GL-000077,SCN-01-G0086,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
bank,BT-000087,SCN-01-G0087,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000078,SCN-01-G0087,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000088,SCN-01-G0088,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000079,SCN-01-G0088,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000089,SCN-01-G0089,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000080,SCN-01-G0089,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000090,SCN-01-G0090,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000081,SCN-01-G0090,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000091,SCN-01-G0091,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000082,SCN-01-G0091,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000092,SCN-01-G0092,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
ledger,GL-000083,SCN-01-G0092,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
bank,BT-000093,SCN-01-G0093,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000084,SCN-01-G0093,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000094,SCN-01-G0094,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000085,SCN-01-G0094,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000095,SCN-01-G0095,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000086,SCN-01-G0095,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000096,SCN-01-G0096,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000087,SCN-01-G0096,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000097,SCN-01-G0097,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000088,SCN-01-G0097,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000098,SCN-01-G0098,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
ledger,GL-000089,SCN-01-G0098,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
bank,BT-000099,SCN-01-G0099,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000090,SCN-01-G0099,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000100,SCN-01-G0100,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000091,SCN-01-G0100,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000101,SCN-01-G0101,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
ledger,GL-000092,SCN-01-G0101,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
bank,BT-000102,SCN-01-G0102,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000093,SCN-01-G0102,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000103,SCN-01-G0103,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000094,SCN-01-G0103,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000104,SCN-01-G0104,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000095,SCN-01-G0104,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000105,SCN-01-G0105,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000096,SCN-01-G0105,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000106,SCN-01-G0106,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000097,SCN-01-G0106,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000107,SCN-01-G0107,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000098,SCN-01-G0107,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000108,SCN-01-G0108,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000099,SCN-01-G0108,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000109,SCN-01-G0109,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000100,SCN-01-G0109,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000110,SCN-01-G0110,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
ledger,GL-000101,SCN-01-G0110,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
bank,BT-000111,SCN-01-G0111,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000102,SCN-01-G0111,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000112,SCN-01-G0112,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000103,SCN-01-G0112,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000113,SCN-01-G0113,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000104,SCN-01-G0113,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000114,SCN-01-G0114,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000105,SCN-01-G0114,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000115,SCN-01-G0115,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000106,SCN-01-G0115,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000116,SCN-01-G0116,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000107,SCN-01-G0116,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000117,SCN-01-G0117,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000108,SCN-01-G0117,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000118,SCN-01-G0118,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000109,SCN-01-G0118,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000119,SCN-01-G0119,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
ledger,GL-000110,SCN-01-G0119,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
bank,BT-000120,SCN-01-G0120,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000111,SCN-01-G0120,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000121,SCN-01-G0121,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000112,SCN-01-G0121,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000122,SCN-01-G0122,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
ledger,GL-000113,SCN-01-G0122,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
bank,BT-000123,SCN-01-G0123,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000114,SCN-01-G0123,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000124,SCN-01-G0124,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000115,SCN-01-G0124,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000125,SCN-01-G0125,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000116,SCN-01-G0125,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000126,SCN-01-G0126,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000117,SCN-01-G0126,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000127,SCN-01-G0127,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000118,SCN-01-G0127,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000128,SCN-01-G0128,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
ledger,GL-000119,SCN-01-G0128,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
bank,BT-000129,SCN-01-G0129,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000120,SCN-01-G0129,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000130,SCN-01-G0130,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000121,SCN-01-G0130,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000131,SCN-01-G0131,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000122,SCN-01-G0131,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000132,SCN-01-G0132,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000123,SCN-01-G0132,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000133,SCN-01-G0133,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000124,SCN-01-G0133,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000134,SCN-01-G0134,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
ledger,GL-000125,SCN-01-G0134,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
bank,BT-000135,SCN-01-G0135,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000126,SCN-01-G0135,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000136,SCN-01-G0136,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000127,SCN-01-G0136,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000137,SCN-01-G0137,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
ledger,GL-000128,SCN-01-G0137,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
bank,BT-000138,SCN-01-G0138,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000129,SCN-01-G0138,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000139,SCN-01-G0139,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000130,SCN-01-G0139,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000140,SCN-01-G0140,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000131,SCN-01-G0140,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000141,SCN-01-G0141,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000132,SCN-01-G0141,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000142,SCN-01-G0142,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000133,SCN-01-G0142,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000143,SCN-01-G0143,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000134,SCN-01-G0143,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000144,SCN-01-G0144,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000135,SCN-01-G0144,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000145,SCN-01-G0145,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000136,SCN-01-G0145,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000146,SCN-01-G0146,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
ledger,GL-000137,SCN-01-G0146,SCN-01,,low,match,Same amount and date as another pair; only the reference separates them
bank,BT-000147,SCN-01-G0147,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000138,SCN-01-G0147,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000148,SCN-01-G0148,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000139,SCN-01-G0148,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000149,SCN-01-G0149,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000140,SCN-01-G0149,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000150,SCN-01-G0150,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000141,SCN-01-G0150,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000151,SCN-01-G0151,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000142,SCN-01-G0151,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000152,SCN-01-G0152,SCN-01,,high,match,"Amount, reference and date agree"
ledger,GL-000143,SCN-01-G0152,SCN-01,,high,match,"Amount, reference and date agree"
bank,BT-000153,SCN-01-G0153,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000144,SCN-01-G0153,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000154,SCN-01-G0154,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000145,SCN-01-G0154,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000155,SCN-01-G0155,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
ledger,GL-000146,SCN-01-G0155,SCN-01,,low,match,Amount within $1.00 of another pair on the same day
