txn_id,txn_date,amount,direction,description,reference,bank_type_code,running_balance
BT-000305,2026-07-03,2943.35,debit,CHECK PAID 4254,4254,CHK,564944.25
BT-000319,2026-07-03,3611.05,credit,ACH DEP TIMPANOGOS COFFEE INV8794,INV8794,ACH-CR,568555.30
BT-000389,2026-07-03,2566.60,credit,DEPOSIT KANAB CRK SPLY,,ACH-CR,571121.90
BT-000400,2026-07-03,3417.40,credit,ACH CREDIT PC MARKET,,ACH-CR,574539.30
BT-000003,2026-07-06,17875.30,credit,ACH DEP WASATCH DELI GROUP DEP95237,DEP95237,DEP,592414.60
BT-000008,2026-07-06,3309.65,debit,CHECK PAID 4104,4104,CHK,589104.95
BT-000033,2026-07-06,1293.65,debit,CHECK PAID 4122,4122,CHK,587811.30
BT-000038,2026-07-06,2529.20,debit,CHECK PAID 4126,4126,CHK,585282.10
BT-000040,2026-07-06,10931.90,debit,CHECK PAID 4128,4128,CHK,574350.20
BT-000049,2026-07-06,3048.20,credit,ACH DEP TIMPANOGOS COFFEE INV8299,INV8299,ACH-CR,577398.40
BT-000050,2026-07-06,3048.20,debit,CHECK PAID 4132,4132,CHK,574350.20
BT-000051,2026-07-06,8331.20,debit,CHECK PAID 4133,4133,CHK,566019.00
BT-000053,2026-07-06,5591.20,credit,ACH DEP COTTONWOOD CATERING INV8096,INV8096,ACH-CR,571610.20
BT-000063,2026-07-06,4773.00,credit,ACH DEP SNOWBASIN CATERING INV8507,INV8507,ACH-CR,576383.20
BT-000070,2026-07-06,2126.35,debit,CHECK PAID 4142,4142,CHK,574256.85
BT-000152,2026-07-06,22793.15,credit,ACH DEP PROVO PROVISIONS INV8471,INV8471,ACH-CR,597050.00
BT-000153,2026-07-06,3483.20,debit,CHECK PAID 4180,4180,CHK,593566.80
BT-000165,2026-07-06,3208.55,debit,CHECK PAID 4185,4185,CHK,590358.25
BT-000176,2026-07-06,7019.35,debit,CHECK PAID 4194,4194,CHK,583338.90
BT-000186,2026-07-06,6488.70,credit,ACH DEP REDROCK PROVISIONS INV8549,INV8549,ACH-CR,589827.60
BT-000232,2026-07-06,4891.75,debit,CHECK PAID 4220,4220,CHK,584935.85
BT-000240,2026-07-06,2498.70,debit,CHECK PAID 4222,4222,CHK,582437.15
BT-000244,2026-07-06,6366.10,credit,ACH DEP SALTAIR SUPPER CLUB INV8471,INV8471,ACH-CR,588803.25
BT-000248,2026-07-06,5278.45,credit,ACH DEP EMIGRATION KITCHEN INV8465,INV8465,ACH-CR,594081.70
BT-000290,2026-07-06,4408.35,credit,ACH DEP LAKESIDE GRILL INV8352,INV8352,ACH-CR,598490.05
BT-000294,2026-07-06,6725.05,debit,CHECK PAID 4247,4247,CHK,591765.00
BT-000300,2026-07-06,2540.60,debit,CHECK PAID 4251,4251,CHK,589224.40
BT-000345,2026-07-06,1235.45,debit,CHECK PAID 4269,4269,CHK,587988.95
BT-000373,2026-07-06,3745.15,debit,CHECK PAID 4279,4279,CHK,584243.80
BT-000377,2026-07-06,85.55,debit,CHECK PAID 4281,4281,CHK,584158.25
BT-000404,2026-07-06,4614.80,credit,ACH CREDIT PROVO PROVSNS,,ACH-CR,588773.05
BT-000415,2026-07-06,2878.30,credit,ACH CREDIT BEEHIVE PKG,,ACH-CR,591651.35
BT-000418,2026-07-06,1860.60,credit,REMOTE DEP BEEHIVE PKG,,ACH-CR,593511.95
BT-000454,2026-07-06,2287.15,debit,ACH DEBIT BEEHIVE PACKAGING,,ACH-DR,591224.80
BT-000455,2026-07-06,3325.60,debit,ACH DEBIT BEEHIVE PACKAGING,,ACH-DR,587899.20
BT-000456,2026-07-06,3694.95,debit,ACH DEBIT BEEHIVE PACKAGING,,ACH-DR,584204.25
BT-000043,2026-07-07,1249.80,credit,ACH DEP BONNEVILLE BAGELS INV8309,INV8309,ACH-CR,585454.05
BT-000055,2026-07-07,2944.25,credit,ACH DEP OGDEN STREET FOODS INV8122,INV8122,ACH-CR,588398.30
BT-000150,2026-07-07,1361.15,credit,ACH DEP ALTA VISTA BISTRO INV8623,INV8623,ACH-CR,589759.45
BT-000183,2026-07-07,4219.70,debit,CHECK PAID 4197,4197,CHK,585539.75
BT-000187,2026-07-07,4808.60,debit,CHECK PAID 4199,4199,CHK,580731.15
BT-000236,2026-07-07,3321.70,credit,ACH DEP TIMPANOGOS COFFEE INV8658,INV8658,ACH-CR,584052.85
BT-000243,2026-07-07,5983.45,debit,CHECK PAID 4224,4224,CHK,578069.40
BT-000311,2026-07-07,4380.20,credit,ACH CREDIT OGDEN STREET FOODS INV8339,INV8339,ACH-CR,582449.60
BT-000316,2026-07-07,5375.65,credit,REMOTE DEP SILVER FORK CAFE INV8242,INV8242,ACH-CR,587825.25
BT-000322,2026-07-07,6236.80,credit,REMOTE DEP PARK CITY MARKET INV8735,INV8735,ACH-CR,594062.05
BT-000333,2026-07-07,5331.75,credit,ACH DEP COTTONWOOD CATERING INV8969,INV8969,ACH-CR,599393.80
BT-000366,2026-07-07,2030.85,debit,CHECK PAID 4275,4275,CHK,597362.95
BT-000392,2026-07-07,5170.20,credit,ACH DEP KANAB CRK SPLY,,ACH-CR,602533.15
BT-000407,2026-07-07,1724.60,credit,DEPOSIT SLVR FORK CAFE,,ACH-CR,604257.75
BT-000408,2026-07-07,2206.35,credit,ACH DEP DESERET PAYRL SVC,,ACH-CR,606464.10
BT-000411,2026-07-07,743.05,credit,DEPOSIT MOAB TRDG POST,,ACH-CR,607207.15
BT-000432,2026-07-07,3591.85,credit,REMOTE DEP BATCH 471,,DEP,610799.00
BT-000463,2026-07-07,1723.95,debit,ACH DEBIT BEEHIVE PACKAGING,,ACH-DR,609075.05
BT-000464,2026-07-07,4128.30,debit,ACH DEBIT BEEHIVE PACKAGING,,ACH-DR,604946.75
BT-000465,2026-07-07,2959.85,debit,ACH DEBIT BEEHIVE PACKAGING,,ACH-DR,601986.90
BT-000007,2026-07-08,6339.50,debit,CHECK PAID 4107,4107,CHK,595647.40
BT-000054,2026-07-08,1996.20,credit,ACH DEP OGDEN STREET FOODS INV8135,INV8135,ACH-CR,597643.60
BT-000058,2026-07-08,6479.75,debit,CHECK PAID 4135,4135,CHK,591163.85
BT-000076,2026-07-08,7084.15,credit,ACH DEP PARK CITY MARKET INV8465,INV8465,ACH-CR,598248.00
BT-000078,2026-07-08,4496.55,debit,CHECK PAID 4147,4147,CHK,593751.45
BT-000129,2026-07-08,2885.25,debit,CHECK PAID 4168,4168,CHK,590866.20
BT-000151,2026-07-08,3363.60,credit,ACH DEP CANYON RIDGE GRCRY INV8119,INV8119,ACH-CR,594229.80
BT-000175,2026-07-08,837.10,credit,ACH DEP REDROCK PROVISIONS INV8554,INV8554,ACH-CR,595066.90
BT-000211,2026-07-08,6069.70,debit,CHECK PAID 4208,4208,CHK,588997.20
BT-000242,2026-07-08,3012.25,credit,ACH DEP TIMPANOGOS COFFEE INV8109,INV8109,ACH-CR,592009.45
BT-000247,2026-07-08,537.25,credit,ACH DEP PARK CITY MARKET INV8335,INV8335,ACH-CR,592546.70
BT-000265,2026-07-08,1832.80,credit,ACH DEP ALTA VISTA BISTRO INV8280,INV8280,ACH-CR,594379.50
BT-000292,2026-07-08,3543.40,debit,CHECK PAID 4245,4245,CHK,590836.10
BT-000341,2026-07-08,6718.15,credit,ACH CREDIT PARK CITY MARKET INV8027,INV8027,ACH-CR,597554.25
BT-000346,2026-07-08,3139.90,debit,CHECK PAID 4270,4270,CHK,594414.35
BT-000347,2026-07-08,3943.10,credit,ACH CREDIT WASATCH DELI GRP INV8897,INV8897,ACH-CR,598357.45
BT-000386,2026-07-08,5699.50,credit,ACH CREDIT MOAB TRADING POST INV8665,INV8665,ACH-CR,604056.95
BT-000390,2026-07-08,1404.40,credit,ACH CREDIT FREMONT SPG WTR,,ACH-CR,605461.35
BT-000439,2026-07-08,6199.65,credit,REMOTE DEP BATCH 817,,DEP,611661.00
BT-000001,2026-07-09,6268.90,debit,CHECK PAID 4108,4108,CHK,605392.10
BT-000011,2026-07-09,7675.85,credit,ACH DEP LOGAN CANYON CAFE INV8799,INV8799,ACH-CR,613067.95
BT-000015,2026-07-09,8533.85,debit,CHECK PAID 4113,4113,CHK,604534.10
BT-000094,2026-07-09,336.40,debit,CHECK PAID 4158,4158,CHK,604197.70
BT-000102,2026-07-09,5242.10,credit,ACH DEP LAKESIDE GRILL INV8629,INV8629,ACH-CR,609439.80
BT-000103,2026-07-09,5243.30,credit,ACH DEP TIMPANOGOS COFFEE INV8639,INV8639,ACH-CR,614683.10
BT-000145,2026-07-09,1313.15,credit,ACH DEP SNOWBASIN CATERING INV8518,INV8518,ACH-CR,615996.25
BT-000146,2026-07-09,1313.15,credit,ACH DEP HEBER VALLEY FOODS INV8295,INV8295,ACH-CR,617309.40
BT-000189,2026-07-09,2454.45,credit,ACH DEP OGDEN STREET FOODS INV8122,INV8122,ACH-CR,619763.85
BT-000195,2026-07-09,7776.75,credit,ACH DEP COPPER RIDGE MARKET INV8504,INV8504,ACH-CR,627540.60
BT-000230,2026-07-09,1899.75,debit,CHECK PAID 4218,4218,CHK,625640.85
BT-000257,2026-07-09,6041.45,debit,CHECK PAID 4232,4232,CHK,619599.40
BT-000299,2026-07-09,940.30,debit,CHECK PAID 4250,4250,CHK,618659.10
BT-000308,2026-07-09,3240.90,credit,ACH DEP PROVO PROVISIONS INV8676,INV8676,ACH-CR,621900.00
BT-000313,2026-07-09,418.55,credit,REMOTE DEP CANYON RIDGE GRCRY INV8062,INV8062,ACH-CR,622318.55
BT-000315,2026-07-09,7831.10,debit,CHECK PAID 4259,4259,CHK,614487.45
BT-000329,2026-07-09,5390.75,debit,CHECK PAID 4264,4264,CHK,609096.70
BT-000359,2026-07-09,4975.00,credit,REMOTE DEP BONNEVILLE BAGELS INV8128,INV8128,ACH-CR,614071.70
BT-000360,2026-07-09,1767.95,credit,ACH DEP OGDEN STREET FOODS INV8699,INV8699,ACH-CR,615839.65
BT-000365,2026-07-09,6176.70,credit,ACH DEP PROVO PROVISIONS INV8834,INV8834,ACH-CR,622016.35
BT-000378,2026-07-09,1917.60,credit,REMOTE DEP RED BUTTE DINER INV8690,INV8690,ACH-CR,623933.95
BT-000391,2026-07-09,3086.10,credit,ACH DEP ANTLP ISL FOODS,,ACH-CR,627020.05
BT-000405,2026-07-09,2180.20,credit,DEPOSIT BEAR CLAW BKRY,,ACH-CR,629200.25
BT-000428,2026-07-09,782.15,credit,DEPOSIT LOGAN CYN CAFE,,ACH-CR,629982.40
BT-000431,2026-07-09,2216.15,credit,REMOTE DEP ZION CLD STRG,,ACH-CR,632198.55
BT-000435,2026-07-09,6457.75,credit,REMOTE DEP BATCH 286,,DEP,638656.30
BT-000441,2026-07-09,4635.45,credit,REMOTE DEP BATCH 377,,DEP,643291.75
BT-000005,2026-07-10,6700.80,debit,CHECK PAID 4105,4105,CHK,636590.95
BT-000010,2026-07-10,7208.60,credit,ACH DEP ALTA VISTA BISTRO INV8390,INV8390,ACH-CR,643799.55
BT-000047,2026-07-10,2890.00,debit,CHECK PAID 4131,4131,CHK,640909.55
BT-000048,2026-07-10,4193.75,credit,ACH DEP REDROCK PROVISIONS INV8126,INV8126,ACH-CR,645103.30
BT-000073,2026-07-10,4798.20,debit,CHECK PAID 4144,4144,CHK,640305.10
BT-000074,2026-07-10,4798.20,debit,CHECK PAID 4145,4145,CHK,635506.90
BT-000080,2026-07-10,348.25,debit,CHECK PAID 4149,4149,CHK,635158.65
BT-000081,2026-07-10,6613.95,credit,ACH DEP BONNEVILLE BAGELS INV8982,INV8982,ACH-CR,641772.60
BT-000097,2026-07-10,5410.80,credit,ACH DEP BEARCLAW BAKERY INV8350,INV8350,ACH-CR,647183.40
BT-000098,2026-07-10,5410.80,debit,CHECK PAID 4160,4160,CHK,641772.60
BT-000105,2026-07-10,1140.20,credit,ACH DEP PROVO PROVISIONS INV8575,INV8575,ACH-CR,642912.80
BT-000149,2026-07-10,8586.40,debit,CHECK PAID 4179,4179,CHK,634326.40
BT-000200,2026-07-10,7650.55,credit,ACH DEP BEARCLAW BAKERY INV8748,INV8748,ACH-CR,641976.95
BT-000203,2026-07-10,806.05,debit,CHECK PAID 4206,4206,CHK,641170.90
BT-000207,2026-07-10,6597.95,credit,ACH DEP TIMPANOGOS COFFEE INV8544,INV8544,ACH-CR,647768.85
BT-000214,2026-07-10,16655.30,credit,ACH DEP SILVER FORK CAFE INV8948,INV8948,ACH-CR,664424.15
BT-000239,2026-07-10,5448.20,credit,ACH DEP CANYON RIDGE GRCRY INV8998,INV8998,ACH-CR,669872.35
BT-000269,2026-07-10,6884.45,credit,ACH DEP LOGAN CANYON CAFE INV8734,INV8734,ACH-CR,676756.80
BT-000364,2026-07-10,5983.55,credit,REMOTE DEP BRIGHTON BISTRO INV8837,INV8837,ACH-CR,682740.35
BT-000383,2026-07-10,4152.85,debit,CHECK PAID 4284,4284,CHK,678587.50
BT-000438,2026-07-10,7376.05,credit,REMOTE DEP BATCH 649,,DEP,685963.55
BT-000457,2026-07-10,1393.85,debit,ACH DEBIT NORTHGATE PAPER,,ACH-DR,684569.70
BT-000458,2026-07-10,1724.20,debit,ACH DEBIT NORTHGATE PAPER,,ACH-DR,682845.50
BT-000459,2026-07-10,1762.75,debit,ACH DEBIT NORTHGATE PAPER,,ACH-DR,681082.75
BT-000118,2026-07-13,4765.30,credit,ACH DEP COPPER RIDGE MARKET INV8043,INV8043,ACH-CR,685848.05
BT-000119,2026-07-13,4766.25,credit,ACH DEP COTTONWOOD CATERING INV8796,INV8796,ACH-CR,690614.30
BT-000148,2026-07-13,803.45,credit,ACH DEP ALTA VISTA BISTRO INV8134,INV8134,ACH-CR,691417.75
BT-000192,2026-07-13,17075.80,credit,ACH DEP BONNEVILLE BAGELS INV8708,INV8708,ACH-CR,708493.55
BT-000229,2026-07-13,5026.70,credit,ACH DEP LOGAN CANYON CAFE INV8980,INV8980,ACH-CR,713520.25
BT-000250,2026-07-13,5292.85,debit,CHECK PAID 4227,4227,CHK,708227.40
BT-000254,2026-07-13,414.40,debit,CHECK PAID 4230,4230,CHK,707813.00
BT-000261,2026-07-13,5164.65,credit,ACH DEP SNOWBASIN CATERING INV8553,INV8553,ACH-CR,712977.65
BT-000278,2026-07-13,6024.20,debit,CHECK PAID 4240,4240,CHK,706953.45
BT-000279,2026-07-13,2847.95,debit,CHECK PAID 4241,4241,CHK,704105.50
BT-000286,2026-07-13,7781.65,credit,ACH DEP SILVER FORK CAFE INV8752,INV8752,ACH-CR,711887.15
BT-000309,2026-07-13,621.40,credit,ACH DEP MOAB TRADING POST INV8697,INV8697,ACH-CR,712508.55
BT-000338,2026-07-13,3537.75,debit,CHECK PAID 4266,4266,CHK,708970.80
BT-000342,2026-07-13,6178.00,credit,ACH CREDIT PROVO PROVISIONS INV8030,INV8030,ACH-CR,715148.80
BT-000350,2026-07-13,2332.45,credit,REMOTE DEP COTTONWOOD CATERING INV8619,INV8619,ACH-CR,717481.25
BT-000352,2026-07-13,516.95,credit,ACH DEP OGDEN STREET FOODS INV8830,INV8830,ACH-CR,717998.20
BT-000354,2026-07-13,2245.95,debit,CHECK PAID 4272,4272,CHK,715752.25
BT-000376,2026-07-13,5414.90,credit,ACH CREDIT GRANITE PEAK FOODS INV8921,INV8921,ACH-CR,721167.15
BT-000382,2026-07-13,5590.30,debit,CHECK PAID 4283,4283,CHK,715576.85
BT-000414,2026-07-13,479.45,credit,REMOTE DEP RED ROCK PROV,,ACH-CR,716056.30
BT-000480,2026-07-13,381.75,debit,ACH DEBIT SEGO LILY CLEANING,,ACH-DR,715674.55
BT-000482,2026-07-13,1211.85,credit,ACH DEP BRIGHTON BISTRO INV8313,INV8313,ACH-CR,716886.40
BT-000017,2026-07-14,5204.20,credit,ACH DEP JUNIPER TABLE INV8142,INV8142,ACH-CR,722090.60
BT-000021,2026-07-14,3839.50,debit,CHECK PAID 4116,4116,CHK,718251.10
BT-000035,2026-07-14,1660.55,debit,CHECK PAID 4124,4124,CHK,716590.55
BT-000113,2026-07-14,3760.25,credit,ACH DEP OGDEN STREET FOODS INV8758,INV8758,ACH-CR,720350.80
BT-000132,2026-07-14,4348.65,debit,CHECK PAID 4170,4170,CHK,716002.15
BT-000136,2026-07-14,4557.65,credit,ACH DEP PARK CITY MARKET INV8095,INV8095,ACH-CR,720559.80
BT-000137,2026-07-14,4557.05,debit,CHECK PAID 4172,4172,CHK,716002.75
BT-000140,2026-07-14,8522.20,debit,CHECK PAID 4175,4175,CHK,707480.55
BT-000147,2026-07-14,2907.20,debit,CHECK PAID 4178,4178,CHK,704573.35
BT-000156,2026-07-14,2549.55,credit,ACH DEP MOAB TRADING POST INV8720,INV8720,ACH-CR,707122.90
BT-000213,2026-07-14,2760.90,credit,ACH DEP COTTONWOOD CATERING INV8527,INV8527,ACH-CR,709883.80
BT-000223,2026-07-14,3781.80,debit,CHECK PAID 4215,4215,CHK,706102.00
BT-000231,2026-07-14,2149.70,debit,CHECK PAID 4219,4219,CHK,703952.30
BT-000281,2026-07-14,2364.70,debit,CHECK PAID 4242,4242,CHK,701587.60
BT-000291,2026-07-14,306.65,credit,ACH DEP EMIGRATION KITCHEN INV8523,INV8523,ACH-CR,701894.25
BT-000303,2026-07-14,7913.85,credit,ACH DEP COTTONWOOD CATERING INV8693,INV8693,ACH-CR,709808.10
BT-000318,2026-07-14,2058.60,credit,REMOTE DEP HEBER VALLEY FOODS INV8323,INV8323,ACH-CR,711866.70
BT-000321,2026-07-14,3410.35,credit,ACH CREDIT HEBER VALLEY FOODS INV8317,INV8317,ACH-CR,715277.05
BT-000334,2026-07-14,4730.70,credit,ACH CREDIT GRANITE PEAK FOODS INV8669,INV8669,ACH-CR,720007.75
BT-000337,2026-07-14,2708.05,debit,CHECK PAID 4265,4265,CHK,717299.70
BT-000379,2026-07-14,6031.85,credit,ACH DEP BEARCLAW BAKERY INV8276,INV8276,ACH-CR,723331.55
BT-000393,2026-07-14,1269.00,credit,REMOTE DEP FREMONT SPG WTR,,ACH-CR,724600.55
BT-000403,2026-07-14,1262.05,credit,ACH CREDIT BEAR CLAW BKRY,,ACH-CR,725862.60
BT-000434,2026-07-14,8739.25,credit,REMOTE DEP BATCH 714,,DEP,734601.85
BT-000481,2026-07-14,381.75,debit,ACH DEBIT SEGO LILY CLEANING,,ACH-DR,734220.10
BT-000484,2026-07-14,582.85,credit,ACH DEP COTTONWOOD CATERING INV8309,INV8309,ACH-CR,734802.95
BT-000486,2026-07-14,379.90,debit,COUNTER CREDIT 8802,,ACH-CR,734423.05
BT-000014,2026-07-15,1325.75,credit,ACH DEP HEBER VALLEY FOODS INV8412,INV8412,ACH-CR,735748.80
BT-000018,2026-07-15,7019.30,credit,ACH DEP SALTAIR SUPPER CLUB INV8345,INV8345,ACH-CR,742768.10
BT-000072,2026-07-15,6483.10,debit,CHECK PAID 4143,4143,CHK,736285.00
BT-000112,2026-07-15,2645.75,credit,ACH DEP SNOWBASIN CATERING INV8748,INV8748,ACH-CR,738930.75
BT-000127,2026-07-15,8032.50,credit,ACH DEP SILVER FORK CAFE INV8447,INV8447,ACH-CR,746963.25
BT-000128,2026-07-15,8032.85,credit,ACH DEP HEBER VALLEY FOODS INV8964,INV8964,ACH-CR,754996.10
BT-000138,2026-07-15,5772.20,debit,CHECK PAID 4173,4173,CHK,749223.90
BT-000162,2026-07-15,6848.75,debit,CHECK PAID 4184,4184,CHK,742375.15
BT-000167,2026-07-15,689.75,debit,CHECK PAID 4187,4187,CHK,741685.40
BT-000169,2026-07-15,7826.15,debit,CHECK PAID 4188,4188,CHK,733859.25
BT-000170,2026-07-15,7826.15,debit,CHECK PAID 4189,4189,CHK,726033.10
BT-000179,2026-07-15,6944.85,credit,ACH DEP OGDEN STREET FOODS INV8587,INV8587,ACH-CR,732977.95
BT-000263,2026-07-15,2937.60,credit,ACH DEP RED BUTTE DINER INV8731,INV8731,ACH-CR,735915.55
BT-000270,2026-07-15,4827.45,debit,CHECK PAID 4237,4237,CHK,731088.10
BT-000275,2026-07-15,2598.80,debit,CHECK PAID 4238,4238,CHK,728489.30
BT-000304,2026-07-15,1741.40,debit,CHECK PAID 4253,4253,CHK,726747.90
BT-000320,2026-07-15,2911.25,credit,ACH CREDIT COTTONWOOD CATERING INV8204,INV8204,ACH-CR,729659.15
BT-000323,2026-07-15,3820.50,credit,ACH DEP PARK CITY MARKET INV8413,INV8413,ACH-CR,733479.65
BT-000335,2026-07-15,3272.45,credit,REMOTE DEP PROVO PROVISIONS INV8213,INV8213,ACH-CR,736752.10
BT-000361,2026-07-15,7294.20,credit,REMOTE DEP COPPER RIDGE MARKET INV8992,INV8992,ACH-CR,744046.30
BT-000417,2026-07-15,5656.10,credit,REMOTE DEP BEAR CLAW BKRY,,ACH-CR,749702.40
BT-000423,2026-07-15,2211.85,credit,ACH CREDIT BEEHIVE PKG,,ACH-CR,751914.25
BT-000436,2026-07-15,8038.05,credit,REMOTE DEP BATCH 211,,DEP,759952.30
BT-000442,2026-07-15,2157.65,debit,ACH DEBIT UNION PACIFIC LOG,,ACH-DR,757794.65
BT-000444,2026-07-15,675.05,debit,ACH DEBIT UNION PACIFIC LOG,,ACH-DR,757119.60
BT-000451,2026-07-15,2051.25,debit,ACH DEBIT ZION COLD STORAGE,,ACH-DR,755068.35
BT-000453,2026-07-15,2253.65,debit,ACH DEBIT ZION COLD STORAGE,,ACH-DR,752814.70
BT-000483,2026-07-15,1057.25,credit,ACH DEP TIMPANOGOS COFFEE INV8184,INV8184,ACH-CR,753871.95
BT-000020,2026-07-16,21275.90,debit,CHECK PAID 4115,4115,CHK,732596.05
